DEVICE,Tester Type,Tester Config,Handler,Handler Config,Temperature,LogPoint,PPH
TLV320AIC3100IRHBR,VLCT-X1,VLCT-X1,,,,,1639
TLV320AIC3100IRHBT,VLCT-X1,VLCT-X1,,,,,1639
TLV320AIC3101IRHBR,VLCT-X1,VLCT-X1,,,,,1649
TLV320AIC3101IRHBT,VLCT-X1,VLCT-X1,,,,,1649
TLV320AIC3104IRHBR,VLCT-X1,VLCT-X1,,,,,1606
TLV320AIC3104IRHBT,VLCT-X1,VLCT-X1,,,,,1606
TLV320AIC3105IRHBR,VLCT-X1,VLCT-X1,,,,,1573
TLV320AIC3105IRHBT,VLCT-X1,VLCT-X1,,,,,1573
TLV320AIC3110IRHBR,VLCT-X1,VLCT-X1,,,,,1846
TLV320AIC3110IRHBT,VLCT-X1,VLCT-X1,,,,,1846
TLV320AIC3111IRHBR,VLCT-X1,VLCT-X1,,,,,1936
TLV320AIC3120IRHBR,VLCT-X1,VLCT-X1,,,,,1683
TLV320AIC3120IRHBT,VLCT-X1,VLCT-X1,,,,,1683
TLV320AIC31IRHBR,VLCT-X1,VLCT-X1,,,,,1595
TLV320AIC3204IRHBR,VLCT-X1,VLCT-X1,,,,,799
TLV320AIC3204IRHBT,VLCT-X1,VLCT-X1,,,,,799
TLV320AIC3254IRHBR,VLCT-X1,VLCT-X1,,,,,1289
TLV320AIC3254IRHBT,VLCT-X1,VLCT-X1,,,,,1289
TLV320AIC3256IRSBR,VLCT-X1,VLCT-X1,,,,,669
TLV320AIC33IRGZR,VLCT-X1,VLCT-X1,,,,,1119
TLV320AIC33IRGZT,VLCT-X1,VLCT-X1,,,,,1119
TLV320DAC3100IRHBR,VLCT-X1,VLCT-X1,,,,,1701
TLV320DAC3100IRHBT,VLCT-X1,VLCT-X1,,,,,1701
TLV320DAC3101IRHBR,VLCT-X1,VLCT-X1,,,,,1893
TLV320DAC3101IRHBT,VLCT-X1,VLCT-X1,,,,,1893
