"pkgtype","tester_req","EDGE_LB","pkg_size","Device_Name","Package","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_queue_1_tester"
"STD  ","ETS-1-64","6494708A","4X4           ","TPS2420RSAR-G2","RSA300       ","19463","9731.5","43776","18237","21366","0","0.42","0.49","0","0.9046737938596491"
"STD  ","ETS-1-64","6494708A","4X4           ","TPS2590RSAR-G2","RSA300       ","62338","31169","48764.81","17700","92464","0","0.36","1.9","0","2.2590880596069174"
"STD  ","ETS-1-64","6494708A","4X4           ","TPS2590RSAT-G2","RSA300       ","13172","6586","48764.81","0","13172","0","0","0.27","0","0.27011281290750444"
"STD  ","ETS-2Q-64","6494708A","4X4           ","TPS2420RSAR-G2","RSA300       ","10068","5034","43776","18237","21366","0","0.42","0.49","0","0.9046737938596491"
"STD  ","ETS-2Q-64","6494708A","4X4           ","TPS2590RSAR-G2","RSA300       ","30126","15063","48764.81","17700","92464","0","0.36","1.9","0","2.2590880596069174"
"STD  ","ETS-2-64","6518677A","5X5           ","PS65168RSBR1-R","RSB          ","86796","43398","54869.27","79165","154380","0","1.44","2.81","0","4.256389778832487"
"STD  ","ETS-2-64","6570774A","7X7           ","S65175RSHR2-UN","RSH          ","58349","29174.5","27367.92","0","88061","0","0","3.22","0","3.217672369694153"
"STD  ","ETS-2M-128","6570774A","7X7           ","S65175RSHR2-UN","RSH          ","21391","10695.5","27367.92","0","88061","0","0","3.22","0","3.217672369694153"
"STD  ","ETS-2-64","6578526A","4X4           ","635KRSNR1-KDG2","RSN300VTT    ","182901","91450.5","74351.85","115800","173706","0","1.56","2.34","0","3.893729611300862"
"STD  ","ETM-2-64","6524040A","3X3           ","2543QRTERQ1-G2","RTE300       ","254883","127441.5","97389.3","144841","123561","0","1.49","1.27","0","2.7559701117063167"
"STD  ","ETS-2-64","6524040A","3X3           ","546QRTERQ11-G2","RTE300       ","100496","50248","0","315710","134528","0","0","0","0","0"
"STD  ","ETS-2-128","6529253A","3X3           ","PS54678RTER-G2","RTE300       ","30108","15054","51911.9","104622","304664","0","2.02","5.87","0","7.8842423413514044"
"STD  ","ETS-1-64","6479465A","4X4           ","A6130A2RTJR-LK","RTJ          ","98978","49489","50617.81","0","98978","0","0","1.96","0","1.955398702551533"
"STD  ","ETS-2-64","6487839B","5X5           ","51980ARTVR-G2K","RTV          ","30380","15190","31636.13","125219","23196","0","3.96","0.73","0","4.69131338125112"
"STD  ","ETS-2-64","6487839B","5X5           ","51980RTVR1-G2K","RTV          ","3934","1967","32041.85","3934","0","0","0.12","0","0","0.12277693079519442"
"STD  ","ETS-2-64","6487839B","5X5           ","PS51980RTVR-LK","RTV          ","27647","13823.5","32041.85","131446","31621","0","4.1","0.99","0","5.089188046258253"
"STD  ","ETM-5-128","6579768C","4X4           ","BQ25890RTWR-G2","RTWST300     ","747743","373871.5","79794.23","91452","666324","0","1.15","8.35","0","9.496626510463226"
"STD  ","ETM-5-128","6579768C","4X4           ","BQ25892RTWR-G2","RTWST300     ","122535","61267.5","84207.59","530089","1418453","0","6.3","16.84","0","23.139743103917354"
"STD  ","ETS-2-64","6526546B","4X4           ","TPS65197RUYR-G","RUY          ","126848","63424","63243.95","79304","159917","0","1.25","2.53","0","3.7825120031244097"
"STD  ","ETS-2-64","6571495A","4X4           ","24780SRUYR-G2K","RUY300       ","158996","79498","61544.65","70946","179111","0","1.15","2.91","0","4.063017662786286"
"STD  ","ETS-2-64","6571495A","4X4           ","BQ24777RUYR-G2","RUY300       ","204112","102056","50429.95","60280","204112","0","1.2","4.05","0","5.242757528016586"
"STD  ","ETS-2-64","6571495A","4X4           ","Q24780RUYR-G2K","RUY300       ","49653","24826.5","64256.32","67801","49653","0","1.06","0.77","0","1.8278980184361633"
"STD  ","ETS-2-64","6571495A","4X4           ","SN2867RUYR-G2K","RUY300       ","63667","31833.5","47903.76","83228","134005","0","1.74","2.8","0","4.534779733365397"
"STRIP","ETM-4-64","6590151A","4X3           ","PS25810RVCR-G2","RVC300ST     ","215399","107699.5",NULL,"171590","565676","0","0","0","0","0"
"STRIP","ETM-4-64","6590151A","4X3           ","PS25810RVCT-G2","RVC300ST     ","21326","10663",NULL,"0","21326","0","0","0","0","0"
"STD  ","ETS-2-64","6528917C","7X5           ","S544C24RVFR-LN","RVFCLIPT     ","46444","23222","20621.08","163429","462658","0","7.93","22.44","0","30.361503859157715"
"STD  ","ETS-2M-64","6528917C","7X5           ","S544C24RVFR-LN","RVFCLIPT     ","46143","23071.5","20621.08","163429","462658","0","7.93","22.44","0","30.361503859157715"
