"MI","MF","PKG","LB","TF","NROWS","SUM_QTY","RNUM","SUM_PPH","APPROX","PKGTYPE","PIN","CAP_PER_DAY","WIP_POST_WB","WIP_FT1","WIP_FT2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","TOTAL_WIP"
"CLFTEA40","ETM-4-64","4X4","6546767B                                     ","6546767B","24","202272","2","23244","8.7","STD  ","RGPST300     ","181842.2","197758","97643","0","1.09","0.54","0","1.6244909047514822"
"CLFTEA41","ETS-2-64","3X3","6547181A","6547181A","7","87861","1","13847","6.35","STD  ","DRC          ","54708.55","0","20521","0","0","0.38","0","0.3750967627546334"
"CLFTEA41","ETS-2-64","4X4","6575258A","6575258A","4","39993","2","6068","6.59","STD  ","RGE300LLF    ","51504.65","106309","117181","0","2.06","2.28","0","4.339219856847877"
"CLFTEA42","ETS-2-64","5.5X3.5","6555639A                                     ","6555639A","13","78207","1","1630","47.98","STD  ","RHR300       ","42013.53","113872","240720","0","2.71","5.73","0","8.439947797768957"
"CLFTEA43","ETS-2-64","5X5","6568521A","6568521A","21","156830","1","3520","44.55","STD  ","RHB300       ","84486.72","125217","39497","0","1.48","0.47","0","1.9495845027478875"
"CLFTEA44","ETS-2-64","4X4","6578526A","6578526A","17","144182","1","3098","46.54","STD  ","RSN300VTT    ","74351.85","115800","173706","0","1.56","2.34","0","3.893729611300862"
"CLFTEA45","ETS-2M-64","3X3","6513992B","6513992B","1","16823","1","1250","13.46","STD  ","RGTLLF       ","0","0","251993","0","0","0","0","0"
"CLFTEA45","ETS-2M-64","5.5X3.5","6515577B","6515577B","15","97050","2","4378","22.17","STD  ","RGY          ","49584.85","17271","113739","0","0.35","2.29","0","2.642137669066257"
"CLFTEA46","ETM-4-64","4X3","6590151A","6590151A","10","131043","1","3984","32.89","STRIP","RVC300ST     ",NULL,"171590","565676","0","0","0","0","0"
"CLFTEA47","ETS-2-64","4X4","6571495A                                     ","6571495A","12","118542","1","15269","7.76","STD  ","RUY300       ","58517.67","60280","204112","0","1.03","3.49","0","4.518156652511968"
"CLFTEA48","ETS-2-64","4X4","6575258A                                     ","6575258A","10","91468","1","6068","15.07","STD  ","RGE300LLF    ","48925.18","0","37247","0","0","0.76","0","0.7613053237617112"
"CLFTEA49","ETS-2-64","3.5X3.5","6487925B                                     ","6487925B","29","309433","1","21521","14.38","STD  ","RHL          ","61549.98","64957","430775","0","1.06","7","0","8.054137466819647"
"CLFTEA49","ETS-2-64","3.5X3.5","6487925B                                     ","6487925B","29","309433","1","21521","14.38","STD  ","RGY          ","69929.46","212474","564607","0","3.04","8.07","0","11.112355221962245"
"CLFTEA5","ETS-0-64","7X7","6519267C","6519267C","24","99744","1","4235","23.55","STD  ","RGZ          ","51492.72","35067","0","0","0.68","0","0","0.6810088882467269"
"CLFTEA50","ETS-2-64","4X4","6571495A                                     ","6571495A","14","120012","1","15269","7.86","STD  ","RUY300       ","54832.51","60280","204112","0","1.1","3.72","0","4.821811002268545"
"CLFTEA51","ETS-2-64","6X5","6522167C","6522167C","18","106576","1","9298","11.46","CLIP ","DQPCLIP      ","60240.09","46621","103727","0","0.77","1.72","0","2.49581300426344"
"CLFTEA52","ETM-5-128","4X4","6579768C                                     ","6579768C","62","512093","1","14224","36","STD  ","RTWST300     ","80004.39","91452","666324","0","1.14","8.33","0","9.471680241546744"
"CLFTEA53","ETM-5-128","4X4","6579768C                                     ","6579768C","60","508797","1","14224","35.77","STD  ","RTWST300     ","79794.23","91452","666324","0","1.15","8.35","0","9.496626510463226"
"CLFTEA54","ETM-5-128","4X4","6579768C                                     ","6579768C","54","510633","1","14224","35.9","STD  ","RTWST300     ","79794.23","91452","666324","0","1.15","8.35","0","9.496626510463226"
"CLFTEA56","ETS-2Q-64","4X4","6494708A","6494708A","4","40194","1","5888","6.83","STD  ","RSA300       ","47517.61","18237","21366","0","0.38","0.45","0","0.8334383821071809"
"CLFTEA56","ETS-2Q-64","5X5","6555551A                                     ","6555551A","9","67212","2","2190","30.69","STD  ","RGW300       ","51203.7","395958","314090","0","7.73","6.13","0","13.867122883697858"
"CLFTEA57","ETS-2-64","3X3","6518552B","6518552B","14","183561","1","7118","25.79","STD  ","RGT300       ","85421.31","54681","398527","0","0.64","4.67","0","5.305561340606928"
"CLFTEA58","ETS-2-128","3X3","6529253A                                     ","6529253A","5","30108","1","2163","13.92","STD  ","RTE300       ","51911.9","104622","304664","0","2.02","5.87","0","7.8842423413514044"
"CLFTEA58","ETS-2-128","4X4","6510697B                                     ","6510697B","11","98893","2","8258","11.98","STD  ","RGELLF       ","66112.02","17032","39758","0","0.26","0.6","0","0.8589965939627922"
"CLFTEA59","ETS-2-64","3X3","6513992B","6513992B","1","16840","1","1250","13.47","STD  ","RGTLLF       ","0","0","251993","0","0","0","0","0"
"CLFTEA59","ETS-2-64","5X5","6555551A                                     ","6555551A","13","98716","2","2190","45.08","STD  ","RGW300       ","51203.7","395958","314090","0","7.73","6.13","0","13.867122883697858"
"CLFTEA6","ETM-2-64","3X3","6524040A                                     ","6524040A","15","185847","1","3987","46.61","STD  ","RTE300       ","97389.3","144841","123561","0","1.49","1.27","0","2.7559701117063167"
"CLFTEA60","ETS-2-64","3X3","6506727A","6506727A","2","25936","1","2500","10.37","STD  ","DRCLLF       ","92409.87","27339","110085","0","0.3","1.19","0","1.487113876472286"
"CLFTEA60","ETS-2-64","4.5X3.5","6578688B                                     ","6578688B","23","159020","2","8704","18.27","STD  ","DPC          ","46609.88","44793","7724","0","0.96","0.17","0","1.1267353616872646"
