 Tester , TesterConfig , PackageSize , Initial_LoadBoard , Optimizer_LoadBoard , N_Lots , SUM_QTY , ChangeOver , Hours , PKGTYPE , PIN , CAP_PER_DAY , WIP_POST_WB , WIP_FT1 , WIP_FT2 , POST_WB_QUEUE , TEST_QUEUE_FT1 , TEST_QUEUE_FT2 , TOTAL_WIP 
 CLFTEA86 , ETS-2-64 , 3X3 , 6569306A                                      , 6569306A , 17 , 152229 , 0 , 46.65 , STD   , RTE300        , 78964.17 , 0 , 182017 , 0 , 0 , 2.31 , 0 , 2.31 
 CLFTEA87 , ETM-4-64 , 4X4 ,NULL, 6546767B , 36 , 309392 , 1 , 39.51 , STD   , RGPST300      , 188000 , 0 , 365557 , 0 , 0 , 1.94 , 0 , 1.94 
 CLFTEA87 , ETM-4-64 , 5X5 ,NULL, 6471369E , 1 , 7893 , 2 , 6.32 , STD   , RGW           , 40960.82 , 0 , 298470 , 0 , 0 , 7.29 , 0 , 7.29 
 CLFTEA87 , ETM-4-64 , 3X3 ,NULL, 6524040A , 1 , 6958 , 3 , 1.75 , STD   , RTE300        , 97133.16 , 0 , 122557 , 0 , 0 , 1.26 , 0 , 1.26 
 CLFTEA88 , ETS-2-64 , 5X5 , 6487839B                                      , 6487839B , 10 , 66416 , 0 , 46.55 , STD   , RHB300        , 34243.47 , 0 , 148096 , 0 , 0 , 4.32 , 0 , 4.32 
 CLFTEA89 , ETM-5-128 , 2X2 , 6547137A                                      , 6547137A , 3 , 65255 , 0 , 14.12 , STRIP , DSGST         , 110939.55 , 0 , 77668 , 0 , 0 , 0.7 , 0 , 0.7 
 CLFTEA89 , ETM-5-128 , 3X3 , 6547137A                                      , 6583782A , 5 , 65794 , 1 , 6.58 , STRIP , RTE300ST      , 179144.71 , 0 , 65794 , 0 , 0 , 0.37 , 0 , 0.37 
 CLFTEA89 , ETM-5-128 , 4X4 , 6547137A                                      , 6579768C , 11 , 110615 , 2 , 26.33 , STD   , RTWST300      , 100240.07 , 0 , 2830613 , 0 , 0 , 28.24 , 0 , 28.24 
 CLFTEA9 , ETS-0-64 , 3X3 , 6513992A                                      , 6513992A , 12 , 187973 , 0 , 47.86 , STD   , RGTLLF        , 92424.12 , 0 , 49778 , 0 , 0 , 0.54 , 0 , 0.54 
 CLFTEA92 , ETM-5-128 , 4X4 , 6579768C                                      , 6579768C , 21 , 200776 , 0 , 47.80 , STD   , RTWST300      , 100240.07 , 0 , 2830613 , 0 , 0 , 28.24 , 0 , 28.24 
 CLFTEA98 , ETM-2M-64 , 3.5X3.5 ,NULL, 6529762A , 2 , 23415 , 1 , 33.40 , STD   , RVA           , 16833.86 , 0 , 23415 , 0 , 0 , 1.39 , 0 , 1.39 
 CLFTEA98 , ETM-2M-64 , 4X4 ,NULL, 6529675B , 5 , 43971 , 2 , 13.60 , STD   , RGV           , 77608.91 , 0 , 301624 , 0 , 0 , 3.89 , 0 , 3.89 
 CLFTEA99 , ETS-2-64 , 4.5X3.5 ,NULL, 6543758C , 18 , 138772 , 1 , 47.37 , CLIP  , RVECLIP       , 77038.32 , 0 , 869276 , 0 , 0 , 11.28 , 0 , 11.28 
