LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOT_TIME,MACHINE_INSTANCE
5946478,S53647RTAR-G2K,6X6           ,RTA300       ,      5168,      2116,5946478     ,4410,1,        13.25,      12.33,     20.79,                   ,10/30/2015 06:06:11,
5946470,S53647RTAR-G2K,6X6           ,RTA300       ,      5148,      2116,5946470     ,4410,1,        13.25,      12.33,     20.79,                   ,10/30/2015 06:06:11,
5946474,S53647RTAR-G2K,6X6           ,RTA300       ,      4977,      2116,5946474     ,4410,1,        13.25,      12.33,     20.79,                   ,10/30/2015 06:06:11,
5946471,S53647RTAR-G2K,6X6           ,RTA300       ,      5058,      2116,5946471     ,4410,1,        13.25,      12.33,     20.79,                   ,10/30/2015 06:06:11,
5946480,S53647RTAR-G2K,6X6           ,RTA300       ,      2579,      2116,5946480     ,4410,1,        13.25,      12.33,     20.79,                   ,10/30/2015 06:06:11,
5946472,S53647RTAR-G2K,6X6           ,RTA300       ,      5158,      2116,5946472     ,4410,1,        13.25,      12.33,     20.79,                   ,10/30/2015 06:06:11,
5946473,S53647RTAR-G2K,6X6           ,RTA300       ,      5136,      2116,5946473     ,4410,1,        13.25,      12.33,     20.79,                   ,10/30/2015 06:06:11,
5950429,D97395Q4M-LNKE,4.5X3.5       ,DPC          ,      5306,      2036,5950429     ,4410,1,        14.24,       12.8,     19.46,                   ,10/30/2015 06:06:11,
5950430,D97395Q4M-LNKE,4.5X3.5       ,DPC          ,      7615,      2036,5950430     ,4410,1,        14.24,       12.8,     19.46,                   ,10/30/2015 06:06:11,
5950428,D97395Q4M-LNKE,4.5X3.5       ,DPC          ,      7820,      2036,5950428     ,4410,1,        14.24,       12.8,     19.46,                   ,10/30/2015 06:06:11,
5950427,D97395Q4M-LNKE,4.5X3.5       ,DPC          ,      7572,      2036,5950427     ,4410,1,        14.24,       12.8,     19.46,                   ,10/30/2015 06:06:11,
5950423,D97395Q4M-LNKE,4.5X3.5       ,DPC          ,      7822,      2036,5950423     ,4410,1,        14.24,       12.8,     19.46,                   ,10/30/2015 06:06:11,
