Machine_Family,Machine_Instance,Machine_Family_Name,Certification
ETS-2-64            ,CLFTEA65   ,ETS-2-64            ,2
ETM-5-128           ,CLFTEA52   ,ETM-5-128           ,1
ETS-2-64            ,CLFTEA51   ,ETS-2-64            ,1
ETS-INAM-64         ,CLFTEA16   ,ETS-INAM-64         ,1
ETS-2M-64           ,CLFTEA80   ,ETS-2M-64           ,1
ETS-S-64            ,CLFTEA19   ,ETS-S-64            ,1
ETS-2-64            ,CLFTEA27   ,ETS-2-64            ,1
ETS-2-64            ,CLFTEA76   ,ETS-2-64            ,1
ETS-200FT           ,CLFTEA55   ,ETS-200FT           ,1
ETS-INAM-64         ,CLFTEA10   ,ETS-INAM-64         ,3
ETS-2-64            ,CLFTEA69   ,ETS-2-64            ,1
ETS-2-64            ,CLFTEA44   ,ETS-2-64            ,1
ETS-S-64            ,CLFTEA20   ,ETS-S-64            ,2
ETS-INA-64          ,CLFTEA1    ,ETS-INA-64          ,1
ETS-1-64            ,CLFTEA2    ,ETS-1-64            ,1
ETS-2-64            ,CLFTEA24   ,ETS-2-64            ,1
ETS-0-64            ,CLFTEA3    ,ETS-0-64            ,1
ETS-2-128           ,CLFTEA32   ,ETS-2-128           ,1
ETS-1-64            ,CLFTEA4    ,ETS-1-64            ,1
ETS-2-64            ,CLFTEA43   ,ETS-2-64            ,1
ETS-0-64            ,CLFTEA5    ,ETS-0-64            ,1
ETS-2-64            ,CLFTEA57   ,ETS-2-64            ,1
ETS-2-64            ,CLFTEA6    ,ETS-2-64            ,1
ETS-2-128           ,CLFTEA62   ,ETS-2-128           ,1
ETS-2-128           ,CLFTEA7    ,ETS-2-128           ,1
ETS-2-64            ,CLFTEA70   ,ETS-2-64            ,1
ETS-2-64            ,CLFTEA77   ,ETS-2-64            ,1
ETS-INA-64          ,CLFTEA8    ,ETS-INA-64          ,1
ETS-2-64            ,CLFTEA81   ,ETS-2-64            ,1
ETM-5-128           ,CLFTEA89   ,ETM-5-128           ,1
ETS-0-64            ,CLFTEA9    ,ETS-0-64            ,1
ETM-4-64            ,CLFTEA90   ,ETM-4-64            ,1
ETS-S-64            ,CLFTEA91   ,ETS-S-64            ,1
ETS-4M-128          ,CLFTEA95   ,ETS-4M-128          ,1
ETM-2-64            ,CLFTEA97   ,ETM-2-64            ,1
ETM-2-64            ,CLFTEA98   ,ETM-2-64            ,1
ETS-2-64            ,CLFTEA99   ,ETS-2-64            ,1
