ROUTENAME,LOGPOINT,OPERATION,LPT_DESC,OPN_DESC,DEVICE,PACKAGE,PIN,ALTERNATE,SETUP,PPH,MACHINE_FAMILY,TOOLING_FAMILY,TOOLQTY,CERTIFICATION
QFN7,4410,1,FT1,,S53211ARGTR-LK,3X3,RGT,alt,ETS-4M-128:6521279A,3914,ETS-4M-128,6521279A,1,1
QFN7V,4410,1,FT1,,S53302RGTR-G2Y,3X3,RGT300LLF,,ETS-2-64:6516394A,2802,ETS-2-64,6516394A,1,1
QFN7V,4410,1,FT1,,S53302RGTR-G2Y,3X3,RGT300LLF,alt,ETS-2M-64:6516394A,2802,ETS-2M-64,6516394A,1,1
QFN7V,4410,1,FT1,,S53302RGTR-G2Y,3X3,RGT300LLF,alt,ETS-2-128:6516394A,2802,ETS-2-128,6516394A,1,1
QFN7V,4410,1,FT1,,S53302RGTR-G2Y,3X3,RGT300LLF,alt,ETS-4M-128:6516394A,2802,ETS-4M-128,6516394A,1,1
QFN7,4410,1,FT1,,S53312RGTR-G2Y,3X3,RGT300LLF,,ETS-1-64:6516394A,3069,ETS-1-64,6516394A,1,1
QFN7,4410,1,FT1,,S53312RGTR-G2Y,3X3,RGT300LLF,alt,ETS-2-64:6516394A,3069,ETS-2-64,6516394A,1,1
QFN7,4410,1,FT1,,S53312RGTR-G2Y,3X3,RGT300LLF,alt,ETS-S-64:6516394A,3069,ETS-S-64,6516394A,1,1
QFN7,4410,1,FT1,,S53312RGTR-G2Y,3X3,RGT300LLF,alt,ETS-1M-64:6516394A,3069,ETS-1M-64,6516394A,1,1
QFN7,4410,1,FT1,,S53312RGTR-G2Y,3X3,RGT300LLF,alt,ETS-2M-64:6516394A,3069,ETS-2M-64,6516394A,1,1
QFN7,4410,1,FT1,,S53312RGTR-G2Y,3X3,RGT300LLF,alt,ETS-2-128:6516394A,3069,ETS-2-128,6516394A,1,1
QFN7,4410,1,FT1,,S53312RGTR-G2Y,3X3,RGT300LLF,alt,ETS-4M-128:6516394A,3069,ETS-4M-128,6516394A,1,1
QFN8NOQCLA,4410,1,FT1,,S53353DQPR2-CN,6X5,DQPCLIP,,ETS-2-64:6522167C,2454,ETS-2-64,6522167C,1,1
QFN8NOQCLA,4410,1,FT1,,S53353DQPR2-CN,6X5,DQPCLIP,alt,ETS-2M-64:6522167C,2454,ETS-2M-64,6522167C,1,1
QFN8NOQCLA,4410,1,FT1,,S53353DQPR2-CN,6X5,DQPCLIP,alt,ETS-2-128:6522167C,2454,ETS-2-128,6522167C,1,1
QFN8NOQCLA,4410,1,FT1,,S53353DQPR2-CN,6X5,DQPCLIP,alt,ETS-4M-128:6522167C,2454,ETS-4M-128,6522167C,1,1
QFN25,4410,1,FT1,,S53511RGTR-G2Y,3X3,RGT300LLF,,ETS-1-64:6516394A,3320,ETS-1-64,6516394A,1,1
QFN25,4410,1,FT1,,S53511RGTR-G2Y,3X3,RGT300LLF,alt,ETS-2-64:6516394A,3320,ETS-2-64,6516394A,1,1
QFN25,4410,1,FT1,,S53511RGTR-G2Y,3X3,RGT300LLF,alt,ETS-S-64:6516394A,3320,ETS-S-64,6516394A,1,1
QFN25,4410,1,FT1,,S53511RGTR-G2Y,3X3,RGT300LLF,alt,ETS-1M-64:6516394A,3320,ETS-1M-64,6516394A,1,1
QFN25,4410,1,FT1,,S53511RGTR-G2Y,3X3,RGT300LLF,alt,ETS-2M-64:6516394A,3320,ETS-2M-64,6516394A,1,1
QFN25,4410,1,FT1,,S53511RGTR-G2Y,3X3,RGT300LLF,alt,ETS-2-128:6516394A,3320,ETS-2-128,6516394A,1,1
QFN25,4410,1,FT1,,S53511RGTR-G2Y,3X3,RGT300LLF,alt,ETS-4M-128:6516394A,3320,ETS-4M-128,6516394A,1,1
QFN8NOQCLA,4410,1,FT1,,S53515ARVER-LN,4.5X3.5,RVECLIP,,ETS-2-64:6543758C,3056,ETS-2-64,6543758C,1,1
QFN8NOQCLA,4410,1,FT1,,S53515ARVER-LN,4.5X3.5,RVECLIP,alt,ETS-2M-64:6543758C,3056,ETS-2M-64,6543758C,1,1
QFN8NOQCLA,4410,1,FT1,,S53515ARVER-LN,4.5X3.5,RVECLIP,alt,ETS-2-128:6543758C,3056,ETS-2-128,6543758C,1,1
QFN8NOQCLA,4410,1,FT1,,S53515ARVER-LN,4.5X3.5,RVECLIP,alt,ETS-4M-128:6543758C,3056,ETS-4M-128,6543758C,1,1
QFN25,4410,1,FT1,,S53623RSMR-G2K,4X4,RSM300,,ETS-2-64:6541533C,2307,ETS-2-64,6541533C,1,1
QFN25,4410,1,FT1,,S53623RSMR-G2K,4X4,RSM300,alt,ETS-2M-64:6541533C,2307,ETS-2M-64,6541533C,1,1
QFN25,4410,1,FT1,,S53623RSMR-G2K,4X4,RSM300,alt,ETS-2-128:6541533C,2307,ETS-2-128,6541533C,1,1
QFN25,4410,1,FT1,,S53623RSMR-G2K,4X4,RSM300,alt,ETS-4M-128:6541533C,2307,ETS-4M-128,6541533C,1,1
QFN7,4410,1,FT1,,S53647RTAR-G2K,6X6,RTA300,,ETS-2-64:6579192B,529,ETS-2-64,6579192B,1,1
QFN7,4410,1,FT1,,S53647RTAR-G2K,6X6,RTA300,alt,ETS-2M-64:6579192B,529,ETS-2M-64,6579192B,1,1
QFN7,4410,1,FT1,,S53647RTAR-G2K,6X6,RTA300,alt,ETS-2-128:6579192B,529,ETS-2-128,6579192B,1,1
QFN7,4410,1,FT1,,S53647RTAR-G2K,6X6,RTA300,alt,ETS-4M-128:6579192B,529,ETS-4M-128,6579192B,1,1
QFN25,4410,1,FT1,,S542941RSAR-G2,4X4,RSA300,,ETS-2-64:6553495A,1724,ETS-2-64,6553495A,1,1
QFN25,4410,1,FT1,,S542941RSAR-G2,4X4,RSA300,alt,ETS-2M-64:6553495A,1724,ETS-2M-64,6553495A,1,1
