"pkgtype","tester_req","EDGE_LB","pkg_size","Device_Name","Pin","Package","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_queue_1_tester"
NULL,"ETS-2-64","6568521A",NULL,"S652611RHBR-G2",NULL,NULL,"16760","8380","83753.65","0","16760","0","0","0.2","0","0.20011068174342253"
NULL,"ETS-4M-128","6572424A",NULL,"PS65263RHBT-G2",NULL,NULL,"14016","7008","0","0","14016","0","0","0","0","0"
NULL,"ETS-2-128","6577720A",NULL,"661RHBR1-UG2R&",NULL,NULL,"4432","2216",NULL,"0","4432","0","0","0","0","0"
NULL,"ETS-2-64","6522167C",NULL,"PS53319DQPR-LN",NULL,NULL,"18082","9041","59923.87","143041","13608","0","2.39","0.23","0","2.6141335664735936"
NULL,"ETS-2-64","6523177B",NULL,"SD97370Q5M2-LN",NULL,NULL,"78462","39231","52894.74","138345","44382","0","2.62","0.84","0","3.4545400922662632"
NULL,"ETS-2-64","6575257C",NULL,"D95373BQ5M1-LN",NULL,NULL,"6649","3324.5","55486.68","0","0","6649","0","0","0.12","0.11983056113647456"
NULL,"ETS-4M-128","6526570D",NULL,"AC7760IRHAR-CK",NULL,NULL,"4454","2227","30863.65","0","4454","0","0","0.14","0","0.14431216009772013"
NULL,"ETS-2-64","6542777B",NULL,"1311031RHAR-G2",NULL,NULL,"9937","4968.5","26283.66","7366","2571","0","0.28","0.1","0","0.3780675902823275"
NULL,"ETS-2-64","6542777B",NULL,"PS40425RHAR-G2",NULL,NULL,"2511","1255.5","23509.33","0","2511","0","0","0.11","0","0.10680865851983021"
NULL,"ETS-2-64","6555466B",NULL,"PS65154RSLR-G2",NULL,NULL,"2292","1146","34473.6","0","2292","0","0","0.07","0","0.06648565859092175"
NULL,"ETM-5-128","No_Tooling",NULL,"202027ARSLR-G2",NULL,NULL,"4962","2481","93968.85","18690","0","0","0.2","0","0","0.19889569788286224"
NULL,"ETM-5-128","No_Tooling",NULL,"202027CRSLR-G2",NULL,NULL,"45185","22592.5","90582.23","50384","5166","0","0.56","0.06","0","0.6132549397381805"
NULL,"ETM-5-128","No_Tooling",NULL,"202027LRSLR-G2",NULL,NULL,"5160","2580","88198.14","13229","10302","0","0.15","0.12","0","0.2667970095514486"
NULL,"ETS-2-64","6496545A",NULL,"51315RGFR-LS2Y",NULL,NULL,"6034","3017","43424.18","9926","3411","0","0.23","0.08","0","0.3071330304913069"
NULL,"ETS-2-64","6496545A",NULL,"51315RGFT-LS2Y",NULL,NULL,"5096","2548","43424.18","5096","0","0","0.12","0","0","0.11735397191150183"
