 Tester , TesterConfig , PackageSize , Initial_LoadBoard , Optimizer_LoadBoard , N_Lots , SUM_QTY , ChangeOver , Hours , PKGTYPE , PIN , CAP_PER_DAY , WIP_POST_WB , WIP_FT1 , WIP_FT2 , POST_WB_QUEUE , TEST_QUEUE_FT1 , TEST_QUEUE_FT2 , TOTAL_WIP 
 CLFTEA70 , ETS-2-64 , 3X3 , 6529253A                                      , 6529253A , 7 , 96412 , 0 , 44.58 , STD   , RTE300        , 51885.01 , 13886 , 366933 , 0 , 0.27 , 7.07 , 0 , 7.34 
 CLFTEA70 , ETS-2-64 , 5X5 , 6529253A                                      , 6513476C , 1 , 3951 , 1 , 2.95 , STD   , RHB           , 32102.4 , 0 , 41242 , 0 , 0 , 1.28 , 0 , 1.28 
 CLFTEA71 , ETS-1-64 , 3.5X3.5 , 6487925B                                      , 6487925B , 12 , 137799 , 0 , 47.46 , STD   , RHL300        , 69882.41 , 84175 , 167593 , 0 , 1.2 , 2.4 , 0 , 3.6 
 CLFTEA72 , ETS-2-64 , 3X3 , 6523514A                                      , 6523514A , 2 , 27569 , 0 , 7.51 , STD   , DRC           , 88046.09 , 0 , 40859 , 0 , 0 , 0.46 , 0 , 0.46 
 CLFTEA72 , ETS-2-64 , 4.5X3.5 , 6523514A                                      , 6578688B , 14 , 88640 , 1 , 20.53 , STD   , DPCUTT        , 101648.47 , 0 , 490 , 0 , 0 , 0 , 0 , 0 
 CLFTEA72 , ETS-2-64 , 4.5X3.5 , 6523514A                                      , 6544140B , 5 , 32486 , 2 , 11.65 , STD   , DPC           , 66907.42 , 4939 , 0 , 0 , 0.07 , 0 , 0 , 0.07 
 CLFTEA72 , ETS-2-64 , 3X3 , 6523514A                                      , 6518552B , 2 , 27571 , 3 , 7.75 , STD   , RGT300        , 85421.31 , 13811 , 13760 , 0 , 0.16 , 0.16 , 0 , 0.32 
 CLFTEA73 , ETS-2-64 , 2X2 , 6576907B                                      , 6576907B , 16 , 369044 , 0 , 46.08 , STRIP , DSGST         , 187865.55 , 0 , 712775 , 0 , 0 , 3.79 , 0 , 3.79 
 CLFTEA73 , ETS-2-64 , 4X4 , 6576907B                                      , 6525585A , 1 , 4471 , 1 , 1.63 , STD   , RGELLF        , 65932.75 , 84311 , 47991 , 0 , 1.28 , 0.73 , 0 , 2.01 
 CLFTEA74 , ETS-2-64 , 6X6 , 6542777B                                      , 6542777B , 10 , 45864 , 0 , 46.14 , STD   , RHA300        , 23945.3 , 0 , 25417 , 0 , 0 , 1.06 , 0 , 1.06 
