actual_tester_index,tester_index,tester_config,loadboard_type,setup_change,Package,apu_tester,package_type,package_size,device_name,Completion_Time
,19,ETS-S-64,S53312RGTR-G2Y,,10/10/2015 15:32:0,19,,,N,10/09/2015 02:06:09
,19,ETS-S-64,PS54326ARGTR-L,setup change,10/9/2015 13:36:45,19,,,N,10/09/2015 02:06:09
,19,ETS-S-64,S53312RGTR-G2Y,setup change,10/10/2015 7:47:14,19,,,N,10/09/2015 02:06:09
,19,ETS-S-64,S53312RGTR-G2Y,,10/11/2015 1:30:2,19,,,N,10/11/2015 01:25:03
,20,ETS-S-64,TPS2500DRCR-G2,,10/10/2015 9:1:46,20,,,N,10/09/2015 02:06:09
,20,ETS-S-64,TPS2500DRCR-G2,,10/9/2015 7:10:6,20,,,N,10/09/2015 02:06:09
,20,ETS-S-64,TPS2500DRCR-G2,,10/9/2015 17:48:32,20,,,N,10/09/2015 02:06:09
,20,ETS-S-64,TPS2500DRCR-G2,,10/10/2015 5:58:58,20,,,N,10/09/2015 02:06:09
,20,ETS-S-64,TPS2500DRCR-G2,,10/9/2015 8:41:18,20,,,N,10/09/2015 02:06:09
,20,ETS-S-64,TPS2500DRCR-G2,,10/9/2015 20:51:14,20,,,N,10/09/2015 02:06:09
,20,ETS-S-64,TPS2500DRCR-G2,,10/10/2015 2:55:50,20,,,N,10/09/2015 02:06:09
,20,ETS-S-64,TPS2500DRCR-G2,,10/9/2015 2:11:7,20,,,N,10/09/2015 02:06:09
,20,ETS-S-64,TPS2500DRCR-G2,,10/9/2015 11:44:2,20,,,N,10/09/2015 02:06:09
,20,ETS-S-64,TPS2500DRCR-G2,,10/9/2015 23:53:3,20,,,N,10/09/2015 02:06:09
,20,ETS-S-64,TPS2500DRCR-G2,,10/9/2015 5:9:7,20,,,N,10/09/2015 02:06:09
,20,ETS-S-64,TPS2500DRCR-G2,,10/9/2015 14:46:15,20,,,N,10/09/2015 02:06:09
,20,ETS-S-64,PS61161DRVR-LK,setup change,10/10/2015 17:44:25,20,,,N,10/10/2015 10:33:57
,20,ETS-S-64,PS61161DRVR-LK,,10/11/2015 1:55:41,20,,,N,10/10/2015 10:33:57
,20,ETS-S-64,PS61161DRVR-LK,,10/10/2015 15:6:11,20,,,N,10/10/2015 10:33:57
,20,ETS-S-64,PS61161DRVR-LK,,10/10/2015 23:17:18,20,,,N,10/10/2015 10:33:57
,20,ETS-S-64,PS61161DRVR-LK,,10/10/2015 12:43:30,20,,,N,10/10/2015 10:33:57
