"pkgtype","tester_req","EDGE_LB","pkg_size","Pin","Package","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_Queue_1_tester"
NULL,"ETS-2-128","S62134ARGTR1-L",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETM-5-128","Q25895MRTWR-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","N1006030RTER-C",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","LV62150RGTR-LY",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-S-64","TPS2500DRCR-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","1305017RTER-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","PS62140RGTR-LY",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-128","TPS2557DRBR2-L",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-1M-64","LV62130RGTR-LY",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","2592ZADRCR-G2K",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2M-64","546QRTERQ11-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETM-4-64","LV62150RGTR-LY",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETM-2-64","DRV401AIRGWR-Z",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETM-5-128","Q25890HRTWR-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","S544C20RVFR-LN",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-S-64","55340QRTERQ1-L",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-128","1218DSCR3-G2YK",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETM-4-64","CD3211A1RGPR-L",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","PS25200DRVR-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","PS62742DSSR-LK",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETM-5-128","202027ERSLR-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-128","PS62134DRGTR-L",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","44C20RVFT1-LN#",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETM-4-64","LV62130RGTR-LY",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","S62740DSSR1-LK",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-S-64","PS54326ARGTR-L",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","S51362RVER-LNY",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","PS54821RHLT2-R",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","PS56121BDQPR-C",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-S-64","N1401038RTER-L",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETM-4-64","D3211A1RGPR-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-128","65633BKRTER-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETM-5-128","202027CRSLR-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","44C20RVFR-LQN#",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-0-64","4519RTER1-RQR&",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","4622RHLR1-LQR#",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","A8001DRBR1-G2K",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","BQ24130RHLR-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","BQ24196RGER-RY",NULL,NULL,NULL,"13230","6615",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","BQ24770RUYR-G2",NULL,NULL,NULL,"17640","8820",NULL,"0","0","0","0","0","0","0"
NULL,"ETM-5-128","BQ25890RTWR-G2",NULL,NULL,NULL,"13230","6615",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","D74110RVFR2-LN",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","DRV401AIRGWR-Z",NULL,NULL,NULL,"8820","4410",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","LV62130RGTR-LY",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-0-64","N1107017RHLR-L",NULL,NULL,NULL,"8820","4410",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","PS54218RTER3-C",NULL,NULL,NULL,"13230","6615",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","PS54561DPRR1-C",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","S54335ADRCR-G2",NULL,NULL,NULL,"8820","4410",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","S62086RLTR-LN#",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-0-64","PS54622ARHLR-L",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETM-5-128","202027DRSLR-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
NULL,"ETS-2-64","PS54320RHLR-G2",NULL,NULL,NULL,"4410","2205",NULL,"0","0","0","0","0","0","0"
