Lot Name,Device,Key Device,Key Package,Key Pin Package,Num of Device,Estimated Time Required
5914337,S65177RHAR1-G2,N,N,N,5179,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914339,S65177RHAR1-G2,N,N,N,5176,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914355,S65177RHAR1-G2,N,N,N,4947,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914335,S65177RHAR1-G2,N,N,N,5149,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914336,S65177RHAR1-G2,N,N,N,5166,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914340,S65177RHAR1-G2,N,N,N,5176,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914794,S65177RHAR1-G2,N,N,N,5180,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914791,S65177RHAR1-G2,N,N,N,5177,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914784,S65177RHAR1-G2,N,N,N,5171,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914788,S65177RHAR1-G2,N,N,N,5173,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914792,S65177RHAR1-G2,N,N,N,4377,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914800,S65177RHAR1-G2,N,N,N,5160,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914785,S65177RHAR1-G2,N,N,N,5154,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914798,S65177RHAR1-G2,N,N,N,5179,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914790,S65177RHAR1-G2,N,N,N,5132,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914797,S65177RHAR1-G2,N,N,N,5152,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914802,S65177RHAR1-G2,N,N,N,2576,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914789,S65177RHAR1-G2,N,N,N,5153,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914787,S65177RHAR1-G2,N,N,N,5170,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914801,S65177RHAR1-G2,N,N,N,5039,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914796,S65177RHAR1-G2,N,N,N,5174,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914786,S65177RHAR1-G2,N,N,N,5144,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914799,S65177RHAR1-G2,N,N,N,5179,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5914793,S65177RHAR1-G2,N,N,N,2590,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5918333,S65177RHAR1-G2,N,N,N,5177,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5918345,S65177RHAR1-G2,N,N,N,5180,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5918335,S65177RHAR1-G2,N,N,N,5166,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5918341,S65177RHAR1-G2,N,N,N,4497,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5918336,S65177RHAR1-G2,N,N,N,5179,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5918343,S65177RHAR1-G2,N,N,N,5178,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5918337,S65177RHAR1-G2,N,N,N,5180,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5918348,S65177RHAR1-G2,N,N,N,5170,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5918338,S65177RHAR1-G2,N,N,N,5170,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5918349,S65177RHAR1-G2,N,N,N,5099,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5918339,S65177RHAR1-G2,N,N,N,5172,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5918347,S65177RHAR1-G2,N,N,N,5174,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5918340,S65177RHAR1-G2,N,N,N,5154,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5918344,S65177RHAR1-G2,N,N,N,5147,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5918334,S65177RHAR1-G2,N,N,N,5176,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5921944,S65177RHAR1-G2,N,N,N,5172,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
