ROUTENAME,LOGPOINT,OPERATION,LPT_DESC,OPN_DESC,DEVICE,PACKAGE,PIN,ALTERNATE,SETUP,PPH,MACHINE_FAMILY,TOOLING_FAMILY,TOOLQTY,CERTIFICATION
QFN25,4410,1,FT1,,304056RSBR-G2K,5X5,RSB300,alt,ETS-4M-128:6569544C,636,ETS-4M-128,6569544C,1,1
QFN7MNT,4410,1,FT1,,3210A0RGPR1-G2,4X4,RGPST300,,ETM-2-64:6546767B,10059,ETM-2-64,6546767B,1,1
QFN7MNT,4410,1,FT1,,3210A0RGPR1-G2,4X4,RGPST300,alt,ETM-4-64:6546767B,10059,ETM-4-64,6546767B,1,1
QFN7MNT,4410,1,FT1,,3210A0RGPR1-G2,4X4,RGPST300,alt,ETM-2M-64:6546767B,10059,ETM-2M-64,6546767B,1,1
QFN7MNT,4410,1,FT1,,3210A0RGPR1-G2,4X4,RGPST300,alt,ETM-4-128:6546767B,10059,ETM-4-128,6546767B,1,1
QFN7MNT,4410,1,FT1,,3210A0RGPR1-G2,4X4,RGPST300,alt,ETM-5-128:6546767B,10059,ETM-5-128,6546767B,1,1
QFN7MNT,4410,1,FT1,,3210A0RGPR1-G2,4X4,RGPST300,alt,ETS-2-64:6546767B,10059,ETS-2-64,6546767B,1,1
QFN7MNT,4410,1,FT1,,3210A0RGPR1-G2,4X4,RGPST300,alt,ETS-2M-64:6546767B,10059,ETS-2M-64,6546767B,1,1
QFN7MNT,4410,1,FT1,,3210A0RGPR1-G2,4X4,RGPST300,alt,ETS-2-128:6546767B,10059,ETS-2-128,6546767B,1,1
QFN7MNT,4410,1,FT1,,3210A0RGPR1-G2,4X4,RGPST300,alt,ETS-2Q-64:6546767B,10059,ETS-2Q-64,6546767B,1,1
QFN7MNT,4410,1,FT1,,3210A0RGPR1-G2,4X4,RGPST300,alt,ETS-4M-128:6546767B,10059,ETS-4M-128,6546767B,1,1
QFN53STKC2,4410,1,FT1,,3314RGFR-G2S2Y,7X5,RGFMCM300,,ETS-2-64:6514558B,2600,ETS-2-64,6514558B,1,1
QFN53STKC2,4410,1,FT1,,3314RGFR-G2S2Y,7X5,RGFMCM300,alt,ETS-2M-64:6514558B,2600,ETS-2M-64,6514558B,1,1
QFN53STKC2,4410,1,FT1,,3314RGFR-G2S2Y,7X5,RGFMCM300,alt,ETS-2-128:6514558B,2600,ETS-2-128,6514558B,1,1
QFN53STKC2,4410,1,FT1,,3314RGFR-G2S2Y,7X5,RGFMCM300,alt,ETS-4M-128:6514558B,2600,ETS-4M-128,6514558B,1,1
QFN53STKC2,4410,1,FT1,,3315RGFR-G2S2Y,7X5,RGFMCM300,,ETS-2-64:6514558B,2696,ETS-2-64,6514558B,1,1
QFN53STKC2,4410,1,FT1,,3315RGFR-G2S2Y,7X5,RGFMCM300,alt,ETS-2M-64:6514558B,2696,ETS-2M-64,6514558B,1,1
QFN53STKC2,4410,1,FT1,,3315RGFR-G2S2Y,7X5,RGFMCM300,alt,ETS-2-128:6514558B,2696,ETS-2-128,6514558B,1,1
QFN53STKC2,4410,1,FT1,,3315RGFR-G2S2Y,7X5,RGFMCM300,alt,ETS-4M-128:6514558B,2696,ETS-4M-128,6514558B,1,1
QFN7MNT,4410,1,FT1,,37A75IDSGT-RKD,2X2,DSGST,,ETS-2-64:6576395A,1250,ETS-2-64,6576395A,1,1
QFN7MNT,4410,1,FT1,,37A75IDSGT-RKD,2X2,DSGST,alt,ETS-2M-64:6576395A,1250,ETS-2M-64,6576395A,1,1
QFN7MNT,4410,1,FT1,,37A75IDSGT-RKD,2X2,DSGST,alt,ETS-2-128:6576395A,1250,ETS-2-128,6576395A,1,1
QFN7MNT,4410,1,FT1,,37A75IDSGT-RKD,2X2,DSGST,alt,ETS-4M-128:6576395A,1250,ETS-4M-128,6576395A,1,1
QFN1AUTOST,4410,1,FT1,,401032DSGR1-G2,2X2,DSGST,,ETS-0-64:6506370A,11114,ETS-0-64,6506370A,1,1
QFN1AUTOST,4410,1,FT1,,401032DSGR1-G2,2X2,DSGST,alt,ETS-1-64:6506370A,11114,ETS-1-64,6506370A,1,1
QFN1AUTOST,4410,1,FT1,,401032DSGR1-G2,2X2,DSGST,alt,ETS-2-64:6506370A,11114,ETS-2-64,6506370A,1,1
QFN1AUTOST,4410,1,FT1,,401032DSGR1-G2,2X2,DSGST,alt,ETS-1M-64:6506370A,11114,ETS-1M-64,6506370A,1,1
QFN1AUTOST,4410,1,FT1,,401032DSGR1-G2,2X2,DSGST,alt,ETS-2M-64:6506370A,11114,ETS-2M-64,6506370A,1,1
QFN1AUTOST,4410,1,FT1,,401032DSGR1-G2,2X2,DSGST,alt,ETS-2-128:6506370A,11114,ETS-2-128,6506370A,1,1
QFN1AUTOST,4410,1,FT1,,401032DSGR1-G2,2X2,DSGST,alt,ETS-4M-128:6506370A,11114,ETS-4M-128,6506370A,1,1
QFN1AUTOST,4410,1,FT1,,401032DSGR1-G2,2X2,DSGST,alt,ETS-S-64:6506370A,11114,ETS-S-64,6506370A,1,1
QFN1AUTOST,4410,1,FT1,,401032DSGR1-G2,2X2,DSGST,alt,ETS-2Q-64:6506370A,11114,ETS-2Q-64,6506370A,1,1
QFN25,4410,1,FT1,,406035RGER-G2Y,4X4,RGE300LLF,,ETS-2-64:6575258A,1805,ETS-2-64,6575258A,1,1
QFN25,4410,1,FT1,,406035RGER-G2Y,4X4,RGE300LLF,alt,ETS-2M-64:6575258A,1805,ETS-2M-64,6575258A,1,1
QFN25,4410,1,FT1,,406035RGER-G2Y,4X4,RGE300LLF,alt,ETS-2-128:6575258A,1805,ETS-2-128,6575258A,1,1
QFN25,4410,1,FT1,,406035RGER-G2Y,4X4,RGE300LLF,alt,ETS-4M-128:6575258A,1805,ETS-4M-128,6575258A,1,1
QFN7STTEST,4410,1,FT1,,4622RHLR1-LQR#,3.5X3.5,RHLST,,ETS-0-64:6487925B,2322,ETS-0-64,6487925B,1,1
QFN7STTEST,4410,1,FT1,,4622RHLR1-LQR#,3.5X3.5,RHLST,alt,ETS-1-64:6487925B,2322,ETS-1-64,6487925B,1,1
QFN7STTEST,4410,1,FT1,,4622RHLR1-LQR#,3.5X3.5,RHLST,alt,ETS-2-64:6487925B,2322,ETS-2-64,6487925B,1,1
QFN7STTEST,4410,1,FT1,,4622RHLR1-LQR#,3.5X3.5,RHLST,alt,ETS-1M-64:6487925B,2322,ETS-1M-64,6487925B,1,1
QFN7STTEST,4410,1,FT1,,4622RHLR1-LQR#,3.5X3.5,RHLST,alt,ETS-2M-64:6487925B,2322,ETS-2M-64,6487925B,1,1
QFN7STTEST,4410,1,FT1,,4622RHLR1-LQR#,3.5X3.5,RHLST,alt,ETS-2-128:6487925B,2322,ETS-2-128,6487925B,1,1
QFN7STTEST,4410,1,FT1,,4622RHLR1-LQR#,3.5X3.5,RHLST,alt,ETS-4M-128:6487925B,2322,ETS-4M-128,6487925B,1,1
QFN7STTEST,4410,1,FT1,,4622RHLR1-LQR#,3.5X3.5,RHLST,alt,ETS-S-64:6487925B,2322,ETS-S-64,6487925B,1,1
QFN7STTEST,4410,1,FT1,,4622RHLR1-LQR#,3.5X3.5,RHLST,alt,ETS-2Q-64:6487925B,2322,ETS-2Q-64,6487925B,1,1
QFN7STTEST,4420,1,FT2,,4622RHLR1-LQR#,3.5X3.5,RHLST,,ETS-0-64:6487925B,1250,ETS-0-64,6487925B,1,1
QFN7STTEST,4420,1,FT2,,4622RHLR1-LQR#,3.5X3.5,RHLST,alt,ETS-1-64:6487925B,1250,ETS-1-64,6487925B,1,1
QFN7STTEST,4420,1,FT2,,4622RHLR1-LQR#,3.5X3.5,RHLST,alt,ETS-2-64:6487925B,1250,ETS-2-64,6487925B,1,1
QFN7STTEST,4420,1,FT2,,4622RHLR1-LQR#,3.5X3.5,RHLST,alt,ETS-1M-64:6487925B,1250,ETS-1M-64,6487925B,1,1
QFN7STTEST,4420,1,FT2,,4622RHLR1-LQR#,3.5X3.5,RHLST,alt,ETS-2M-64:6487925B,1250,ETS-2M-64,6487925B,1,1
QFN7STTEST,4420,1,FT2,,4622RHLR1-LQR#,3.5X3.5,RHLST,alt,ETS-2-128:6487925B,1250,ETS-2-128,6487925B,1,1
QFN7STTEST,4420,1,FT2,,4622RHLR1-LQR#,3.5X3.5,RHLST,alt,ETS-4M-128:6487925B,1250,ETS-4M-128,6487925B,1,1
QFN7STTEST,4420,1,FT2,,4622RHLR1-LQR#,3.5X3.5,RHLST,alt,ETS-S-64:6487925B,1250,ETS-S-64,6487925B,1,1
QFN7STTEST,4420,1,FT2,,4622RHLR1-LQR#,3.5X3.5,RHLST,alt,ETS-2Q-64:6487925B,1250,ETS-2Q-64,6487925B,1,1
QFN25V,4410,1,FT1,,51013BRHLR1-G2,4.5X3.5,RHL300,,ETS-2-64:6516100C,1612,ETS-2-64,6516100C,1,1
QFN25V,4410,1,FT1,,51013BRHLR1-G2,4.5X3.5,RHL300,alt,ETS-2M-64:6516100C,1612,ETS-2M-64,6516100C,1,1
QFN25V,4410,1,FT1,,51013BRHLR1-G2,4.5X3.5,RHL300,alt,ETS-2-128:6516100C,1612,ETS-2-128,6516100C,1,1
