LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOOT_TIME,MACHINE_INSTANCE
8025531,202027KRSLR-G2,6X6           ,RSL300       ,5174,2603.00,8025531,4410,1,        13.54,      11.73,      24.8,,11/26/2015 06:06:11,
8025524,202027KRSLR-G2,6X6           ,RSL300       ,4826,2603.00,8025524,4410,1,        13.54,      11.73,      24.8,,11/26/2015 06:06:11,
8025529,202027KRSLR-G2,6X6           ,RSL300       ,5171,2603.00,8025529,4410,1,        13.54,      11.73,      24.8,,11/26/2015 06:06:11,
8025371,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,4727,2581.00,8025371,4410,1,        15.14,      13.57,     24.82,,11/26/2015 06:06:11,
8025360,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9856,2581.00,8025360,4410,1,        15.14,      13.57,     24.82,,11/26/2015 06:06:11,
8025370,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,8521,2581.00,8025370,4410,1,        15.14,      13.57,     24.82,,11/26/2015 06:06:11,
8027242,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3573,2561.00,8027242,4410,1,        14.14,      12.11,     24.17,,11/26/2015 06:06:11,
8027245,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3569,2561.00,8027245,4410,1,        14.14,      12.11,     24.17,,11/26/2015 06:06:11,
8027243,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3634,2561.00,8027243,4410,1,        14.14,      12.11,     24.17,,11/26/2015 06:06:11,
8027248,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3591,2561.00,8027248,4410,1,        14.14,      12.11,     24.17,11/25/2015 02:37:31,11/26/2015 06:06:11,CLFTEA20
8027252,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3625,2561.00,8027252,4410,1,        14.14,      12.11,     24.17,11/25/2015 03:25:02,11/26/2015 06:06:11,CLFTEA44
8027254,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3578,2561.00,8027254,4410,1,        14.14,      12.11,     24.17,,11/26/2015 06:06:11,
8027253,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3631,2561.00,8027253,4410,1,        14.14,      12.11,     24.17,,11/26/2015 06:06:11,
8027240,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3303,2561.00,8027240,4410,1,        14.14,      12.11,     24.17,,11/26/2015 06:06:11,
8027249,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3599,2561.00,8027249,4410,1,        14.14,      12.11,     24.17,,11/26/2015 06:06:11,
8032089,BQ25890RTWR-G2,4X4           ,RTWST300     ,10077,2506.00,8032089,4410,1,        13.71,      10.82,     22.76,,11/26/2015 06:06:11,
8032707,Q25895MRTWR-G2,4X4           ,RTWST300     ,9802,2490.00,8032707,4410,1,        13.71,      10.82,      22.6,,11/26/2015 06:06:11,
8026226,S62134CRGTR1-L,3X3           ,RGT          ,13796,2483.00,8026226,4410,1,        13.15,      12.26,     24.52,11/25/2015 12:53:19,11/26/2015 06:06:11,CLFTEA30
8033192,PS62177DQCR-RK,3X2           ,DQCST        ,17275,2478.00,8033192,4410,1,        13.71,      10.82,     22.48,,11/26/2015 06:06:11,
8033195,PS62177DQCR-RK,3X2           ,DQCST        ,9021,2478.00,8033195,4410,1,        13.71,      10.82,     22.48,,11/26/2015 06:06:11,
8033193,PS62177DQCR-RK,3X2           ,DQCST        ,17106,2478.00,8033193,4410,1,        13.71,      10.82,     22.48,11/25/2015 03:38:32,11/26/2015 06:06:11,CLFTEA79
8033194,PS62177DQCR-RK,3X2           ,DQCST        ,17181,2478.00,8033194,4410,1,        13.71,      10.82,     22.48,,11/26/2015 06:06:11,
8072702,BQ24196RGER-RY,4X4           ,RGELLF       ,1447,2450.00,8072702,4410,1,        12.91,      11.31,     23.49,,11/26/2015 06:06:11,
8029570,BQ24196RGER-RY,4X4           ,RGELLF       ,9315,2450.00,8029570,4410,1,        12.91,      11.31,     23.49,,11/26/2015 06:06:11,
8029562,BQ24196RGER-RY,4X4           ,RGELLF       ,8562,2450.00,8029562,4410,1,        12.91,      11.31,     23.49,,11/26/2015 06:06:11,
8028337,PS51623RSMR-G2,4X4           ,RSM300       ,10054,2417.00,8028337,4410,1,        13.14,      12.23,     23.84,,11/26/2015 06:06:11,
8035335,Q25895MRTWR-G2,4X4           ,RTWST300     ,10070,2406.00,8035335,4410,1,        13.71,      10.82,     21.76,,11/26/2015 06:06:11,
8035433,TLV62084DSGR-R,2X2           ,DSGST        ,24205,2405.00,8035433,4410,1,        13.71,      10.82,     21.75,,11/26/2015 06:06:11,
8035429,TLV62084DSGR-R,2X2           ,DSGST        ,24826,2405.00,8035429,4410,1,        13.71,      10.82,     21.75,,11/26/2015 06:06:11,
8035431,TLV62084DSGR-R,2X2           ,DSGST        ,24830,2405.00,8035431,4410,1,        13.71,      10.82,     21.75,,11/26/2015 06:06:11,
8035432,TLV62084DSGR-R,2X2           ,DSGST        ,24785,2405.00,8035432,4410,1,        13.71,      10.82,     21.75,,11/26/2015 06:06:11,
8035430,TLV62084DSGR-R,2X2           ,DSGST        ,24611,2405.00,8035430,4410,1,        13.71,      10.82,     21.75,,11/26/2015 06:06:11,
8032251,BQ24196RGER-RY,4X4           ,RGELLF       ,10014,2373.00,8032251,4410,1,        12.91,      11.31,     22.72,,11/26/2015 06:06:11,
8032254,BQ24196RGER-RY,4X4           ,RGELLF       ,9557,2373.00,8032254,4410,1,        12.91,      11.31,     22.72,,11/26/2015 06:06:11,
8032257,BQ24196RGER-RY,4X4           ,RGELLF       ,9978,2373.00,8032257,4410,1,        12.91,      11.31,     22.72,,11/26/2015 06:06:11,
8034269,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3648,2368.00,8034269,4410,1,        14.24,      12.11,     22.13,,11/26/2015 06:06:11,
8032029,7A8300RGWR-G2K,5X5           ,RGW300       ,3933,2316.00,8032029,4410,1,        13.21,      12.23,     22.76,,11/26/2015 06:06:11,
8038708,BQ24311DSGR-G2,2X2           ,DSGST        ,22101,2315.00,8038708,4410,1,        13.68,      10.76,     20.82,,11/26/2015 06:06:11,
8038705,BQ24311DSGR-G2,2X2           ,DSGST        ,24769,2315.00,8038705,4410,1,        13.68,      10.76,     20.82,,11/26/2015 06:06:11,
8039931,TLV62084DSGR-R,2X2           ,DSGST        ,24072,2282.00,8039931,4410,1,        13.71,      10.82,     20.51,,11/26/2015 06:06:11,
8039930,TLV62084DSGR-R,2X2           ,DSGST        ,24826,2282.00,8039930,4410,1,        13.71,      10.82,     20.51,,11/26/2015 06:06:11,
8039928,TLV62084DSGR-R,2X2           ,DSGST        ,24803,2282.00,8039928,4410,1,        13.71,      10.82,     20.51,,11/26/2015 06:06:11,
8035377,24296MRGER1-G2,4X4           ,RGE300       ,10075,2215.00,8035377,4410,1,        13.21,      12.23,     21.76,,11/26/2015 06:06:11,
8035392,7A8300RGWR-G2K,5X5           ,RGW300       ,3954,2215.00,8035392,4410,1,        13.21,      12.23,     21.76,,11/26/2015 06:06:11,
8042170,94522DRVR1-G2K,2X2           ,DRVST300     ,24749,2214.00,8042170,4410,1,        13.68,      10.76,     19.81,,11/26/2015 06:06:11,
8036477,S51220ARSNR-LK,4X4           ,RSNTHIN      ,10043,2186.00,8036477,4410,1,        13.26,      12.29,     21.47,,11/26/2015 06:06:11,
8057099,D97395Q4M-LNKE,4.5X3.5       ,DPC          ,6675,2149.00,8057099,4410,1,        18.99,      12.11,     15.19,,11/26/2015 06:06:11,
8042015,SD59924Q4M-LNE,4.5X3.5       ,DPC          ,3897,2139.00,8042015,4410,1,        14.24,      12.11,     19.85,,11/26/2015 06:06:11,
8044770,S62067DSGR1-G2,2X2           ,DSGST        ,24831,2118.00,8044770,4410,1,        13.71,      10.82,     18.87,,11/26/2015 06:06:11,
8044764,Q24314ADSGR-G2,2X2           ,DSGST        ,24819,2118.00,8044764,4410,1,        13.71,      10.82,     18.87,,11/26/2015 06:06:11,
8044762,Q24314ADSGR-G2,2X2           ,DSGST        ,24726,2118.00,8044762,4410,1,        13.71,      10.82,     18.87,,11/26/2015 06:06:11,
8039011,A8001DRBR2-G2K,3X3           ,DRB300       ,6909,2118.00,8039011,4410,1,        13.21,      12.23,     20.79,11/25/2015 03:12:13,11/26/2015 06:06:11,CLFTEA27
8044761,Q24314ADSGR-G2,2X2           ,DSGST        ,24822,2118.00,8044761,4410,1,        13.71,      10.82,     18.87,,11/26/2015 06:06:11,
8044759,Q24314ADSGR-G2,2X2           ,DSGST        ,24811,2118.00,8044759,4410,1,        13.71,      10.82,     18.87,,11/26/2015 06:06:11,
8044767,Q24314ADSGR-G2,2X2           ,DSGST        ,17246,2118.00,8044767,4410,1,        13.71,      10.82,     18.87,,11/26/2015 06:06:11,
8044765,Q24314ADSGR-G2,2X2           ,DSGST        ,24832,2118.00,8044765,4410,1,        13.71,      10.82,     18.87,,11/26/2015 06:06:11,
8042246,51980ARTVR-G2K,5X5           ,RTV          ,7866,2109.00,8042246,4410,1,         13.6,      11.73,     19.81,,11/26/2015 06:06:11,
8040977,A2005D1DRBR-RK,3X3           ,DRB          ,12626,2059.00,8040977,4410,1,        13.03,      12.03,     20.17,,11/26/2015 06:06:11,
8040978,A2005D1DRBR-RK,3X3           ,DRB          ,9342,2059.00,8040978,4410,1,        13.03,      12.03,     20.17,,11/26/2015 06:06:11,
8047121,BQ29705DSER-G2,1.5X1.5       ,DSEST300     ,27845,2057.00,8047121,4410,1,        14.28,      11.31,     18.19,,11/26/2015 06:06:11,
8047120,BQ29705DSER-G2,1.5X1.5       ,DSEST300     ,36610,2057.00,8047120,4410,1,        14.28,      11.31,     18.19,,11/26/2015 06:06:11,
8047122,BQ29705DSER-G2,1.5X1.5       ,DSEST300     ,20962,2057.00,8047122,4410,1,        14.28,      11.31,     18.19,,11/26/2015 06:06:11,
8045543,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3660,2025.00,8045543,4410,1,        14.24,      12.11,     18.71,,11/26/2015 06:06:11,
8048164,BQ29707DSER-G2,1.5X1.5       ,DSEST300     ,41979,2023.00,8048164,4410,1,        14.28,      11.31,     17.85,,11/26/2015 06:06:11,
8048165,BQ29707DSER-G2,1.5X1.5       ,DSEST300     ,27498,2023.00,8048165,4410,1,        14.28,      11.31,     17.85,,11/26/2015 06:06:11,
8042205,BQ24777RUYR-G2,4X4           ,RUY300       ,10069,2020.00,8042205,4410,1,        13.21,      12.23,     19.81,,11/26/2015 06:06:11,
8048197,54218ARTER1-G2,3X3           ,RTE300ST     ,13807,2018.00,8048197,4410,1,        13.68,      10.76,     17.85,,11/26/2015 06:06:11,
8048202,S54319RTER1-G2,3X3           ,RTE300ST     ,13817,2018.00,8048202,4410,1,        13.68,      10.76,     17.85,,11/26/2015 06:06:11,
8042441,S62736RGYR-G2K,3.5X3.5       ,RGY300       ,15086,2016.00,8042441,4410,1,        13.21,      12.23,     19.77,,11/26/2015 06:06:11,
8048228,PS22981RGPR-G2,4X4           ,RGPST300     ,9503,2015.00,8048228,4410,1,        13.71,      10.82,     17.85,,11/26/2015 06:06:11,
8048222,PS22981RGPR-G2,4X4           ,RGPST300     ,10058,2015.00,8048222,4410,1,        13.71,      10.82,     17.85,,11/26/2015 06:06:11,
8048226,PS22981RGPR-G2,4X4           ,RGPST300     ,10075,2015.00,8048226,4410,1,        13.71,      10.82,     17.85,,11/26/2015 06:06:11,
8048229,PS22981RGPR-G2,4X4           ,RGPST300     ,5022,2015.00,8048229,4410,1,        13.71,      10.82,     17.85,,11/26/2015 06:06:11,
8047241,PS53318DQPR-LN,6X5           ,DQPCLIP      ,3288,1982.00,8047241,4410,1,        16.94,      14.72,     18.19,,11/26/2015 06:06:11,
8044943,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9858,1974.00,8044943,4410,1,        15.06,      13.57,     18.83,,11/26/2015 06:06:11,
8044936,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9741,1974.00,8044936,4410,1,        15.06,      13.57,     18.83,,11/26/2015 06:06:11,
8044938,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9934,1974.00,8044938,4410,1,        15.06,      13.57,     18.83,,11/26/2015 06:06:11,
8044945,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,8025,1974.00,8044945,4410,1,        15.06,      13.57,     18.83,,11/26/2015 06:06:11,
8044942,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,5021,1974.00,8044942,4410,1,        15.06,      13.57,     18.83,,11/26/2015 06:06:11,
8044940,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,10062,1974.00,8044940,4410,1,        15.06,      13.57,     18.83,,11/26/2015 06:06:11,
8044941,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,8130,1974.00,8044941,4410,1,        15.06,      13.57,     18.83,,11/26/2015 06:06:11,
8050487,PS63031DSKR-CK,2.5X2.5       ,DSKST        ,30047,1946.00,8050487,4410,1,        13.71,      10.82,     17.16,11/25/2015 02:32:30,11/26/2015 06:06:11,CLFTEA73
8101307,D97374Q4M-LNKE,4.5X3.5       ,DPC          ,490,1940.00,8101307,4410,1,        14.24,      12.11,     17.86,,11/26/2015 06:06:11,
8048010,D97374Q4M-LNKE,4.5X3.5       ,DPC          ,7768,1940.00,8048010,4410,1,        14.24,      12.11,     17.86,,11/26/2015 06:06:11,
8048112,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3619,1940.00,8048112,4410,1,        14.24,      12.11,     17.86,,11/26/2015 06:06:11,
8059119,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3612,1940.00,8059119,4410,1,        14.24,      12.11,     17.86,,11/26/2015 06:06:11,
8046462,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9891,1936.00,8046462,4410,1,        15.06,      13.57,     18.46,,11/26/2015 06:06:11,
8046461,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9198,1936.00,8046461,4410,1,        15.06,      13.57,     18.46,,11/26/2015 06:06:11,
8046459,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9804,1936.00,8046459,4410,1,        15.06,      13.57,     18.46,11/25/2015 06:47:37,11/26/2015 06:06:11,CLFTEA45
8046460,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,10017,1936.00,8046460,4410,1,        15.06,      13.57,     18.46,,11/26/2015 06:06:11,
8046458,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9899,1936.00,8046458,4410,1,        15.06,      13.57,     18.46,,11/26/2015 06:06:11,
8046464,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,4917,1936.00,8046464,4410,1,        15.06,      13.57,     18.46,,11/26/2015 06:06:11,
8046463,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,7328,1936.00,8046463,4410,1,        15.06,      13.57,     18.46,,11/26/2015 06:06:11,
8051647,BQ29707DSER-G2,1.5X1.5       ,DSEST300     ,20994,1919.00,8051647,4410,1,        14.28,      11.31,      16.8,,11/26/2015 06:06:11,
8051646,BQ29707DSER-G2,1.5X1.5       ,DSEST300     ,23717,1919.00,8051646,4410,1,        14.28,      11.31,      16.8,,11/26/2015 06:06:11,
8051643,BQ29707DSER-G2,1.5X1.5       ,DSEST300     ,41978,1919.00,8051643,4410,1,        14.28,      11.31,      16.8,,11/26/2015 06:06:11,
8051809,D3211A1RGPR-G2,4X4           ,RGPST300     ,10056,1910.00,8051809,4410,1,        13.71,      10.82,      16.8,,11/26/2015 06:06:11,
8051814,D3211A1RGPR-G2,4X4           ,RGPST300     ,5029,1910.00,8051814,4410,1,        13.71,      10.82,      16.8,,11/26/2015 06:06:11,
8047161,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9463,1909.00,8047161,4410,1,        15.06,      13.57,     18.19,,11/26/2015 06:06:11,
8047167,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,4870,1909.00,8047167,4410,1,        15.06,      13.57,     18.19,,11/26/2015 06:06:11,
8047164,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9822,1909.00,8047164,4410,1,        15.06,      13.57,     18.19,,11/26/2015 06:06:11,
8047166,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,6187,1909.00,8047166,4410,1,        15.06,      13.57,     18.19,,11/26/2015 06:06:11,
8047162,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9994,1909.00,8047162,4410,1,        15.06,      13.57,     18.19,,11/26/2015 06:06:11,
8047163,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9919,1909.00,8047163,4410,1,        15.06,      13.57,     18.19,,11/26/2015 06:06:11,
8047160,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9993,1909.00,8047160,4410,1,        15.06,      13.57,     18.19,,11/26/2015 06:06:11,
8047165,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9911,1909.00,8047165,4410,1,        15.06,      13.57,     18.19,,11/26/2015 06:06:11,
8048747,62407QDRCRQ1-R,3X3           ,DRCVTT       ,13755,1888.00,8048747,4410,1,        15.82,      14.11,     17.76,11/25/2015 12:55:17,11/26/2015 06:06:11,CLFTEA1
8046391,PS51980RTVR-LK,5X5           ,RTV          ,5876,1884.00,8046391,4410,1,        13.26,      12.29,     18.46,,11/26/2015 06:06:11,
8050311,PS53318DQPR-LN,6X5           ,DQPCLIP      ,6692,1883.00,8050311,4410,1,        16.94,      14.72,      17.2,,11/26/2015 06:06:11,
8048309,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9908,1874.00,8048309,4410,1,        15.06,      13.57,     17.83,,11/26/2015 06:06:11,
8048314,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9776,1874.00,8048314,4410,1,        15.06,      13.57,     17.83,,11/26/2015 06:06:11,
8048311,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9974,1874.00,8048311,4410,1,        15.06,      13.57,     17.83,,11/26/2015 06:06:11,
8048312,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9999,1874.00,8048312,4410,1,        15.06,      13.57,     17.83,,11/26/2015 06:06:11,
8048313,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9931,1874.00,8048313,4410,1,        15.06,      13.57,     17.83,,11/26/2015 06:06:11,
8049341,PS62410DRCR-RY,3X3           ,DRCLLF       ,8349,1854.00,8049341,4410,1,         12.7,      11.09,     17.52,,11/26/2015 06:06:11,
