"Tester","TesterConfig","PackageSize","Initial_LoadBoard","Optimizer_LoadBoard","N_Lots","SUM_QTY","ChangeOver","SUM_PPH","Hours","PKGTYPE","PIN","CAP_PER_DAY","WIP_POST_WB","WIP_FT1","WIP_FT2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","TOTAL_WIP"
"CLFTEA37","ETS-2-128","5X5","6506370A                                     ","6555551A","17","104835","1","2190","47.87","STD  ","RGW300       ","51203.7","478146","157011","0","9.34","3.07","0","12.4"
"CLFTEA38","ETS-2-64","4X4","6525585A                                     ","6525585A","15","130550","0","19071","6.85","STD  ","RGE300LLF    ","62141.24","52789","47519","0","0.85","0.76","0","1.61"
"CLFTEA39","ETS-2-64","4X4","6522503A                                     ","6578526A","19","148066","1","3098","47.79","STD  ","RSN300VTT    ","74351.85","35644","501814","0","0.48","6.75","0","7.23"
"CLFTEA40","ETM-4-64","3X3","6513992A                                     ","6513992A","12","178135","0","12344","14.43","STD  ","RGTLLF       ","104045.76","110885","306693","0","1.07","2.95","0","4.01"
"CLFTEA40","ETM-4-64","4X4","6513992A                                     ","6546767B","2","20139","1","48431","0.42","STD  ","RGPST300     ","182400","232359","736570","0","1.27","4.04","0","5.31"
"CLFTEA41","ETS-2-64","3X3","6516230D                                     ","6547181A","7","75819","1","13373","5.67","STD  ","DRC          ","56463.58","0","6898","0","0","0.12","0","0.12"
"CLFTEA41","ETS-2-64","2X2","6516230D                                     ","6576907B","5","124127","2","16473","7.54","STRIP","DSGST        ","195257.98","181766","484680","0","0.93","2.48","0","3.41"
"CLFTEA41","ETS-2-64","4X4","6516230D                                     ","6525585A","1","4694","3","19071","0.25","STD  ","RGELLF       ","60916.13","651366","1588979","0","10.69","26.08","0","36.78"
"CLFTEA42","ETS-2-64","5.5X3.5","6555639A                                     ","6555639A","12","77705","0","1630","47.67","STD  ","RHR300       ","42013.53","0","228169","0","0","5.43","0","5.43"
"CLFTEA43","ETS-2-64","5X5","6568520B                                     ","6568521A","21","160485","1","7010","22.89","STD  ","RHB300       ","83858.37","7912","300848","0","0.09","3.59","0","3.68"
"CLFTEA43","ETS-2-64","3X3","6568520B                                     ","6569306A","1","5999","2","9570","0.63","STD  ","RTE300       ",NULL,"0","47985","0","0","0","0","0"
"CLFTEA44","ETS-2-64","7X5","6528917C                                     ","6522503A","45","140143","1","10860","12.9","CLIP ","RVFCLIP      ","63615.21","14896","72167","0","0.23","1.13","0","1.37"
"CLFTEA45","ETS-2-64","3X3","6578526A                                     ","6526517A","9","103637","1","2201","47.09","STD  ","RUK          ","56917.3","6904","158816","0","0.12","2.79","0","2.91"
"CLFTEA46","ETM-4-64","4X4","6590151A                                     ","6546767B","44","374332","1","48431","7.73","STD  ","RGPST300     ","181791.49","232359","736570","0","1.28","4.05","0","5.33"
"CLFTEA47","ETS-2-64","4X4","6571495A                                     ","6571495A","5","50115","0","7460","6.72","STD  ","RUY300       ","52147.65","19958","10069","0","0.38","0.19","0","0.58"
"CLFTEA47","ETS-2-64","1.5X1.5","6571495A                                     ","6575703A","5","131990","1","15059","8.76","STD  ","DSEST300     ","115790.17","43526","132564","0","0.38","1.14","0","1.52"
"CLFTEA48","ETS-2-64","4X4","6541533C                                     ","6575258A","9","84915","1","3922","21.65","STD  ","RGE300LLF    ","44187.13","137339","115997","0","3.11","2.63","0","5.73"
"CLFTEA48","ETS-2-64","4.5X3.5","6541533C                                     ","6545456B","1","5443","2","13426","0.41","CLIP ","RVECLIP      ","83732.62","12388","317144","0","0.15","3.79","0","3.94"
"CLFTEA49","ETS-2-64","3.5X3.5","6570774A                                     ","6487925B","12","124687","1","19842","6.28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA5","ETS-0-64","3X3","","6489159B","12","134024","1","2857","46.91","STD  ","DRB          ","68579.81","52778","393237","0","0.77","5.73","0","6.5"
"CLFTEA50","ETS-2-64","4X4","6571495A                                     ","6571495A","12","118347","0","7460","15.86","STD  ","RUY300       ","60407.91","19970","127061","0","0.33","2.1","0","2.43"
"CLFTEA50","ETS-2-64","7X5","6571495A                                     ","6522503A","1","1540","1","10860","0.14","CLIP ","RVFCLIP      ","62771.58","49729","19933","0","0.79","0.32","0","1.11"
"CLFTEA51","ETS-2-64","5X5","6518677A                                     ","6525600B","15","99626","1","2126","46.86","STD  ","RHD          ","51023.3","0","281372","0","0","5.51","0","5.51"
"CLFTEA52","ETM-5-128","4X4","6579768C                                     ","6579768C","22","201620","0","10871","18.55","STD  ","RTWST300     ","84207.59","470337","2110508","0","5.59","25.06","0","30.65"
"CLFTEA53","ETM-5-128","4X4","6579768C                                     ","6579768C","20","201484","0","10871","18.53","STD  ","RTWST300     ","84207.59","470337","2110508","0","5.59","25.06","0","30.65"
"CLFTEA54","ETM-5-128","4X4","6579768C                                     ","6579768C","21","201631","0","10871","18.55","STD  ","RTWST300     ","84207.59","470337","2110508","0","5.59","25.06","0","30.65"
"CLFTEA56","ETS-2Q-64","5X5","6578688B                                     ","6555551A","15","89542","1","2190","40.89","STD  ","RGW300       ","51203.7","478146","157011","0","9.34","3.07","0","12.4"
"CLFTEA56","ETS-2Q-64","2X2","6578688B                                     ","6525230A","7","155218","2","65572","2.37","STRIP","DRVST        ","764922.29","24839","0","0","0.03","0","0","0.03"
"CLFTEA57","ETS-2-64","6X5","","6522167C","18","105619","1","9298","11.36","CLIP ","DQPCLIP      ","60293.38","120576","65099","0","2","1.08","0","3.08"
