ROUTENAME,LOGPOINT,OPERATION,LPT_DESC,OPN_DESC,DEVICE,PACKAGE,PIN,ALTERNATE,SETUP,PPH,MACHINE_FAMILY,TOOLING_FAMILY,TOOLQTY,CERTIFICATION
QFN1AUTOST,4410,1,FT1,,2402QDRRRQ1-G2,3X3,DRR300ST,alt,ETS-4M-128:6582184A,8755,ETS-4M-128,6582184A,1,1
QFN25,4410,1,FT1,,24192IRGER-G2Y,4X4,RGE300LLF,,ETS-2-64:6525585A,2684,ETS-2-64,6525585A,1,1
QFN25,4410,1,FT1,,24192IRGER-G2Y,4X4,RGE300LLF,alt,ETS-2M-64:6525585A,2684,ETS-2M-64,6525585A,1,1
QFN25,4410,1,FT1,,24192IRGER-G2Y,4X4,RGE300LLF,alt,ETS-2-128:6525585A,2684,ETS-2-128,6525585A,1,1
QFN25,4410,1,FT1,,24192IRGER-G2Y,4X4,RGE300LLF,alt,ETS-4M-128:6525585A,2684,ETS-4M-128,6525585A,1,1
QFN7V,4410,1,FT1,,24735RGRR1-G2K,3.5X3.5,RGR300,,ETS-2-64:6512615D,3652,ETS-2-64,6512615D,1,1
QFN7V,4410,1,FT1,,24735RGRR1-G2K,3.5X3.5,RGR300,alt,ETS-2M-64:6512615D,3652,ETS-2M-64,6512615D,1,1
QFN7V,4410,1,FT1,,24735RGRR1-G2K,3.5X3.5,RGR300,alt,ETS-2-128:6512615D,3652,ETS-2-128,6512615D,1,1
QFN7V,4410,1,FT1,,24735RGRR1-G2K,3.5X3.5,RGR300,alt,ETS-4M-128:6512615D,3652,ETS-4M-128,6512615D,1,1
QFN25,4410,1,FT1,,24737RGRR1-G2K,3.5X3.5,RGR300,,ETS-2-64:6512615D,3304,ETS-2-64,6512615D,1,1
QFN25,4410,1,FT1,,24737RGRR1-G2K,3.5X3.5,RGR300,alt,ETS-2M-64:6512615D,3304,ETS-2M-64,6512615D,1,1
QFN25,4410,1,FT1,,24737RGRR1-G2K,3.5X3.5,RGR300,alt,ETS-2-128:6512615D,3304,ETS-2-128,6512615D,1,1
QFN25,4410,1,FT1,,24737RGRR1-G2K,3.5X3.5,RGR300,alt,ETS-4M-128:6512615D,3304,ETS-4M-128,6512615D,1,1
QFN7,4410,1,FT1,,24780SRUYR-G2K,4X4,RUY300,,ETS-2-64:6571495A,2564,ETS-2-64,6571495A,1,1
QFN7,4410,1,FT1,,24780SRUYR-G2K,4X4,RUY300,alt,ETS-2M-64:6571495A,2564,ETS-2M-64,6571495A,1,1
QFN7,4410,1,FT1,,24780SRUYR-G2K,4X4,RUY300,alt,ETS-2-128:6571495A,2564,ETS-2-128,6571495A,1,1
