current_machine_instance,current_tooling_family,smsdw_machine_instance,smsdw_tooling_family,future_machine_instance,future_tooling_family
CLFTEA31,6545253A,NULL,NULL,CLFTEA31,6545253A
CLFTEA32,6542741A,NULL,NULL,CLFTEA32,6542741A
CLFTEA33,6487839B,NULL,NULL,CLFTEA33,6487839B
CLFTEA34,6498316A,NULL,NULL,CLFTEA34,6498316A
CLFTEA35,6529571A,NULL,NULL,CLFTEA35,6529571A
CLFTEA36,6479550B,NULL,NULL,CLFTEA36,6479550B
CLFTEA37,6506370A,NULL,NULL,CLFTEA37,6506371B
CLFTEA38,6525585A,NULL,NULL,CLFTEA38,6525585A
CLFTEA39,6528917B,NULL,NULL,CLFTEA39,6528917B
CLFTEA40,6513992A,NULL,NULL,CLFTEA40,6513992A
CLFTEA41,6547181A,NULL,NULL,CLFTEA41,6547181A
CLFTEA42,6555639A,NULL,NULL,CLFTEA42,6555639A
CLFTEA43,6568521A,NULL,NULL,CLFTEA43,6568521A
CLFTEA44,6522503A,CLFTEA44,6515677C                                     ,CLFTEA44,6522503A
CLFTEA45,6529675B,NULL,NULL,CLFTEA45,6529675B
CLFTEA46,6547137A,NULL,NULL,CLFTEA46,6547137A
CLFTEA47,6571495A,NULL,NULL,CLFTEA47,6571495A
CLFTEA48,6575258A,NULL,NULL,CLFTEA48,6575258A
CLFTEA49,6487925B,NULL,NULL,CLFTEA49,6487925B
CLFTEA50,6571495A,NULL,NULL,CLFTEA50,6571495A
CLFTEA51,6525600B,CLFTEA51,6569094B                                     ,CLFTEA51,6525600B
CLFTEA52,6579768C,NULL,NULL,CLFTEA52,6579768C
CLFTEA53,6579768C,NULL,NULL,CLFTEA53,6579768C
CLFTEA54,6579768C,NULL,NULL,CLFTEA54,6579768C
CLFTEA55,,NULL,NULL,CLFTEA55,
CLFTEA56,6543758C,NULL,NULL,CLFTEA56,6543758C
CLFTEA57,6547349B,NULL,NULL,CLFTEA57,6570774A
CLFTEA58,6492420C,NULL,NULL,CLFTEA58,6492420C
CLFTEA59,6579192B,NULL,NULL,CLFTEA59,6579192B
CLFTEA60,6578688B,NULL,NULL,CLFTEA60,6544140B
CLFTEA61,6512615D,NULL,NULL,CLFTEA61,6512615D
CLFTEA62,6570729C,NULL,NULL,CLFTEA62,6570729C
CLFTEA63,6555639A,NULL,NULL,CLFTEA63,6555639A
CLFTEA64,6479550B,NULL,NULL,CLFTEA64,6479550B
CLFTEA65,6569306A,NULL,NULL,CLFTEA65,6569306A
CLFTEA66,6544140B,NULL,NULL,CLFTEA66,6544140B
CLFTEA67,6516394A,NULL,NULL,CLFTEA67,6516394A
CLFTEA68,6525585A,NULL,NULL,CLFTEA68,6525585A
CLFTEA69,6541533C,NULL,NULL,CLFTEA69,6541533C
CLFTEA70,6547349B,NULL,NULL,CLFTEA70,6547349B
CLFTEA71,6487925B,NULL,NULL,CLFTEA71,6487925B
CLFTEA72,6547181A,NULL,NULL,CLFTEA72,6547181A
CLFTEA73,6554905A,NULL,NULL,CLFTEA73,6554905A
CLFTEA74,6520958B,NULL,NULL,CLFTEA74,6520958B
CLFTEA75,6544140B,NULL,NULL,CLFTEA75,6544140B
CLFTEA76,6525239A,NULL,NULL,CLFTEA76,6525239A
CLFTEA77,6512615D,NULL,NULL,CLFTEA77,6512615D
CLFTEA78,6560309A,NULL,NULL,CLFTEA78,6560309A
CLFTEA79,6497193A,NULL,NULL,CLFTEA79,6497194A
CLFTEA80,6513476C,NULL,NULL,CLFTEA80,6513476C
CLFTEA81,6505771B,NULL,NULL,CLFTEA81,6505771B
CLFTEA82,6487925B,NULL,NULL,CLFTEA82,6487925B
CLFTEA83,6525585A,NULL,NULL,CLFTEA83,6525585A
CLFTEA84,6525585A,NULL,NULL,CLFTEA84,6525585A
CLFTEA85,6568858D,NULL,NULL,CLFTEA85,6568858D
CLFTEA86,6518552B,CLFTEA86,6541231B                                     ,CLFTEA86,6518552B
CLFTEA87,6494476A,NULL,NULL,CLFTEA87,6494476A
CLFTEA88,6518677A,NULL,NULL,CLFTEA88,6518677A
CLFTEA89,6579768C,NULL,NULL,CLFTEA89,6579768C
CLFTEA90,6552808A,NULL,NULL,CLFTEA90,6552808A
CLFTEA92,,NULL,NULL,CLFTEA92,6579768B
CLFTEA93,,NULL,NULL,CLFTEA93,
CLFTEA94,,NULL,NULL,CLFTEA94,
