"pkgtype","tester_req","EDGE_LB","pkg_size","Pin","Package","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_Queue_1_tester"
NULL,"ETS-2-64","6541231B",NULL,NULL,NULL,"15069","7534.5","75720.65","0","15069","0","0","0.2","0","0.19900780038206223"
NULL,"ETS-2M-64","6571778A",NULL,NULL,NULL,"165438","82719","83689.41","0","165438","0","0","1.98","0","1.9768092522100467"
NULL,"ETS-2-64","6513992A",NULL,NULL,NULL,"18156","9078","0","0","4571","0","0","0","0","0"
NULL,"ETS-2-64","6575577B",NULL,NULL,NULL,"161477","80738.5","91375.62","13816","52523","0","0.15","0.57","0","0.7260032818381972"
NULL,"ETS-2-64","6510609E",NULL,NULL,NULL,"30627","15313.5","94171.79","29378","30627","0","0.31","0.33","0","0.6371865714775093"
NULL,"ETS-2-64","6518552B",NULL,NULL,NULL,"90144","45072","85421.31","27631","90144","0","0.32","1.06","0","1.3787543178628379"
NULL,"ETS-1-64","6484140A",NULL,NULL,NULL,"175475","87737.5","85052.43","24328","73374","0","0.29","0.86","0","1.1487267324402137"
NULL,"ETS-1-64","6516394A",NULL,NULL,NULL,"133406","66703","77011.93","49060","59100","0","0.64","0.77","0","1.4044577249265147"
NULL,"ETS-2-64","6513992A",NULL,NULL,NULL,"122806","61403","103264.45","0","40378","0","0","0.39","0","0.3910154946837949"
NULL,"ETS-2-64","6513992B",NULL,NULL,NULL,"9260","4630","0","43117","9260","0","0","0","0","0"
NULL,"ETS-2-64","6542741A",NULL,NULL,NULL,"94651","47325.5","107404.51","39463","68995","0","0.37","0.64","0","1.0098086197683878"
NULL,"ETS-1-64","6528989B",NULL,NULL,NULL,"11397","5698.5","57012.16","0","3719","0","0","0.07","0","0.06523169793952728"
NULL,"ETS-2-64","6507988A",NULL,NULL,NULL,"29906","14953","142700.64","32745","45013","0","0.23","0.32","0","0.5449029520820649"
NULL,"ETS-2-64","6515577B",NULL,NULL,NULL,"89682","44841","48941.91","0","90071","0","0","1.84","0","1.8403654454842484"
NULL,"ETS-2Q-64","6487925B",NULL,NULL,NULL,"135572","67786","69929.46","22669","150670","0","0.32","2.15","0","2.4787693198260072"
NULL,"ETM-4-64","6566885A",NULL,NULL,NULL,"16676","8338","58485.72","46927","14996","0","0.8","0.26","0","1.0587712692944533"
NULL,"ETS-2-64","6519267C",NULL,NULL,NULL,"17367","8683.5","51826.08","4798","12569","0","0.09","0.24","0","0.3351015550471886"
NULL,"ETS-2-64","6545193C",NULL,NULL,NULL,"2404","1202","35270.19","20260","0","0","0.57","0","0","0.5744227632456756"
NULL,"ETS-S-64","6500265B",NULL,NULL,NULL,"5118","2559","34291.2","0","5118","0","0","0.15","0","0.14925111982082867"
NULL,"ETS-2-64","6542777B",NULL,NULL,NULL,"48234","24117","25121.08","10342","22849","0","0.41","0.91","0","1.3212409657546569"
NULL,"ETS-2-64","6484527A",NULL,NULL,NULL,"34163","17081.5",NULL,"22343","11820","0","0","0","0","0"
NULL,"ETS-2-128","6503050A",NULL,NULL,NULL,"105875","52937.5","53887.55","0","112514","0","0","2.09","0","2.0879405354297975"
NULL,"ETS-2-64","6516809C",NULL,NULL,NULL,"37397","18698.5","71232.89","0","37397","0","0","0.52","0","0.5249962482218538"
NULL,"ETS-2-64","6568520B",NULL,NULL,NULL,"45242","22621","62487.54","0","30151","0","0","0.48","0","0.48251219363092224"
NULL,"ETS-2-64","6568521A",NULL,NULL,NULL,"129155","64577.5","84486.72","31613","113377","0","0.37","1.34","0","1.7161276943879464"
NULL,"ETS-2-64","6525600B",NULL,NULL,NULL,"41077","20538.5","51023.3","28198","12879","0","0.55","0.25","0","0.8050635689969092"
NULL,"ETS-2-64","6487925B",NULL,NULL,NULL,"367838","183919","61847.79","0","51177","0","0","0.83","0","0.8274669151476552"
NULL,"ETS-2M-64","6487925B",NULL,NULL,NULL,"237092","118546","61373.51","0","51177","0","0","0.83","0","0.833861384170467"
NULL,"ETS-4M-128","6487925B",NULL,NULL,NULL,"120892","60446","61549.98","197138","662067","0","3.2","10.76","0","13.959468386504755"
NULL,"ETS-2-64","6515575A",NULL,NULL,NULL,"11783","5891.5","48086.81","0","11783","0","0","0.25","0","0.24503600883485513"
NULL,"ETS-2-64","6580945B",NULL,NULL,NULL,"7918","3959","183063.27","0","7918","0","0","0.04","0","0.043252805437158426"
NULL,"ETS-1-64","6553821A",NULL,NULL,NULL,"3227","1613.5","0","27106","0","0","0","0","0","0"
NULL,"ETS-2-64","6487925B",NULL,NULL,NULL,"15108","7554","55732.88","0","15108","0","0","0.27","0","0.2710787599707749"
NULL,"ETS-2-64","6555639A",NULL,NULL,NULL,"5071","2535.5","42013.53","0","5071","0","0","0.12","0","0.12069921284881323"
NULL,"ETM-2-64","6584432B",NULL,NULL,NULL,"99343","49671.5",NULL,"0","99343","0","0","0","0","0"
NULL,"ETS-2-64","6520265B",NULL,NULL,NULL,"5002","2501","60401.73","0","5002","0","0","0.08","0","0.08281219759765159"
NULL,"ETS-S-64","6518233A",NULL,NULL,NULL,"40905","20452.5","51947.93","0","40905","0","0","0.79","0","0.7874230984757237"
NULL,"ETS-2-64","6518677A",NULL,NULL,NULL,"23936","11968","54869.27","11694","12242","0","0.21","0.22","0","0.43623689544256744"
NULL,"ETS-2-64","No_Tooling",NULL,NULL,NULL,"2969","1484.5","0","0","2969","0","0","0","0","0"
NULL,"ETS-2-64","6555466B",NULL,NULL,NULL,"2292","1146","34473.6","0","2292","0","0","0.07","0","0.06648565859092175"
NULL,"ETS-2-64","6479677A",NULL,NULL,NULL,"13893","6946.5","27425.22","13893","0","0","0.51","0","0","0.5065775224410233"
NULL,"ETS-2-64","6578526A",NULL,NULL,NULL,"9841","4920.5","74351.85","34180","9841","0","0.46","0.13","0","0.5920632775109159"
