"pkgtype","EDGE_LB","num_lots","pkg_size","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_Queue_1_tester"
"STD  ","6517878B","1","4X4           ","5009","2504.5","59152.08","0","0","0","0","0","0","0"
"STD  ","6518233A","8","5X5           ","40905","20452.5","51947.93","4312","0","0","0.08","0","0","0.08300619485704243"
"STD  ","6518552B","10","3X3           ","131576","65788","85421.31","0","0","0","0","0","0","0"
"STD  ","6518648B","1","6X6           ","2580","1290","23509.33","4074","14175","0","0.17","0.6","0","0.7762450057062451"
"STD  ","6518677A","6","5X5           ","39015","19507.5","54869.27","0","7704","0","0","0.14","0","0.1404064606655055"
"STD  ","6519267C","2","7X7           ","7015","3507.5","51826.08","0","0","0","0","0","0","0"
"STD  ","6520265B","1","4X4           ","5002","2501","60401.73","0","0","0","0","0","0","0"
"STD  ","6520958B","1","4.0X3.5       ","5026","2513","41130.2","32363","21137","0","0.79","0.51","0","1.3007473827017617"
"STRIP","6521765A","4","1.5X1.5       ","133651","66825.5","351412.84","0","133651","0","0","0.38","0","0.3803247485208565"
"CLIP ","6522167C","2","6X5           ","8579","4289.5","59923.87","61904","229049","0","1.03","3.82","0","4.8553773312704935"
"STD  ","6522212C","28","3X3           ","362504","181252","100831.7","0","27445","0","0","0.27","0","0.2721862271488034"
"CLIP ","6522503A","6","7X5           ","19149","9574.5","72262.43","0","0","0","0","0","0","0"
"STRIP","6522803A","10","3X3           ","105838","52919","54949.17","0","20128","0","0","0.37","0","0.3663021661655672"
"CLIP ","6523177B","1","6X5           ","2817","1408.5","52894.74","61131","42334","0","1.16","0.8","0","1.9560546095887796"
"STD  ","6524040A","18","3X3           ","197168","98584","10997.64","10548","48577","0","0.96","4.42","0","5.376153429281191"
"STRIP","6525230A","8","2X2           ","164230","82115","794548.36","0","0","0","0","0","0","0"
"STD  ","6525585A","83","4X4           ","722939","361469.5","62001.45","55790","31894","0","0.9","0.51","0","1.41422498989943"
"STD  ","6525600B","8","5X5           ","42489","21244.5","51023.3","0","15763","0","0","0.31","0","0.3089372894344348"
"STD  ","6526489A","1","4X4           ","9409","4704.5","54680.03","0","0","0","0","0","0","0"
"CLIP ","6528917C","1","7X5           ","1437","718.5","20621.08","0","0","0","0","0","0","0"
"STD  ","6528944B","15","2X2           ","357667","178833.5","196458.87","0","0","0","0","0","0","0"
"STD  ","6528989B","4","5X5           ","23145","11572.5","59381.56","0","0","0","0","0","0","0"
"STD  ","6529675B","16","4X4           ","153634","76817","77608.91","60359","66338","0","0.78","0.85","0","1.6325058553199625"
"STRIP","6530035A","1","3X3           ","13819","6909.5","169531.12","0","0","0","0","0","0","0"
"STD  ","6541533C","5","4X4           ","39086","19543","60542.46","0","0","0","0","0","0","0"
"STD  ","6541602C","6","4X4           ","44300","22150","79938.78","0","0","0","0","0","0","0"
"STD  ","6541669B","7","3X3           ","79767","39883.5","50890.77","0","0","0","0","0","0","0"
"STRIP","6542741A","8","3X3           ","108458","54229","107404.51","0","82856","0","0","0.77","0","0.7714387412595617"
"STD  ","6542777B","12","6X6           ","54871","27435.5","23958.49","0","3660","0","0","0.15","0","0.15276421844615415"
"STD  ","6542852A","2","3X3           ","24882","12441","94171.79","0","24912","0","0","0.26","0","0.26453781965915696"
"CLIP ","6543758C","17","4.5X3.5       ","111918","55959","70390.62","43259","314738","0","0.61","4.47","0","5.085862292447488"
"STD  ","6544140B","8","4.5X3.5       ","15197","7598.5","0","0","3657","0","0","0","0","0"
"STD  ","6544455A","6","3X3           ","67364","33682","93324.66","0","0","0","0","0","0","0"
"STRIP","6545098B","3","3X2           ","51774","25887","600628.97","0","0","0","0","0","0","0"
"STD  ","6545193C","1","7X7           ","2404","1202","35270.19","0","0","0","0","0","0","0"
"CLIP ","6545456B","36","4.5X3.5       ","256450","128225","86680.23","7086","0","0","0.08","0","0","0.08174874478297993"
"STRIP","6546196A","2","3X3           ","21486","10743","0","0","0","0","0","0","0","0"
"STRIP","6546767B","21","4X4           ","174203","87101.5","182081.26","280201","126924","0","1.54","0.7","0","2.235952233634587"
"STD  ","6547181A","16","3X3           ","187028","93514","51246.88","0","0","0","0","0","0","0"
"STRIP","6548821B","4","3X3           ","54583","27291.5","54994.91","40925","27307","0","0.74","0.5","0","1.2406966390162288"
"STD  ","6548880A","25","3X4           ","395931","197965.5","133857.21","0","0","0","0","0","0","0"
"STRIP","6552808A","42","3X2           ","667446","333723","168927.38","45492","17225","0","0.27","0.1","0","0.3712660434323909"
"STD  ","6553054A","3","3X3           ","32437","16218.5","0","39339","71490","0","0","0","0","0"
"STD  ","6553821A","1","5.5X3.5       ","3227","1613.5","0","0","0","0","0","0","0","0"
"STD  ","6554905A","3","3X3           ","41455","20727.5","139980.3","18862","0","0","0.13","0","0","0.1347475323313352"
"STD  ","6555466B","1","6X6           ","2292","1146","34473.6","0","2292","0","0","0.07","0","0.06648565859092175"
"STD  ","6555613B","25","3X3           ","307210","153605","203416.22","41452","522593","0","0.2","2.57","0","2.772861475844945"
"STRIP","6556617A","9","3X2.5         ","102500","51250","187827.12","0","309450","0","0","1.65","0","1.6475256608310878"
"STD  ","6556725A","10","4X4           ","94468","47234","32052.94","0","0","0","0","0","0","0"
"STD  ","6560309A","3","4X4           ","24605","12302.5","54660.07","0","0","0","0","0","0","0"
"STRIP","6566339A","10","2X2           ","192808","96404","339857.72","0","0","0","0","0","0","0"
"STD  ","6566885A","11","3.5X3.5       ","106746","53373","58485.72","7431","72229","0","0.13","1.23","0","1.3620418796246332"
"STD  ","6568521A","14","5X5           ","102701","51350.5","84277.27","0","0","0","0","0","0","0"
"STD  ","6568858D","6","4X3           ","58381","29190.5","29751.92","0","69588","0","0","2.34","0","2.338941486801524"
"STD  ","6569306A","47","3X3           ","607205","303602.5","79446.7","27628","13757","0","0.35","0.17","0","0.5209152803074263"
"STD  ","6570242A","19","3.3X3.3       ","75757","37878.5","69380.83","10052","4693","0","0.14","0.07","0","0.2125226809768635"
"STD  ","6570729C","15","8X8           ","38991","19495.5","2726.33","103475","13204","0","37.95","4.84","0","42.797093528663076"
"STD  ","6570845A","12","3X3           ","156857","78428.5","88918.36","0","49892","0","0","0.56","0","0.5610989676372798"
"STD  ","6571495A","34","4X4           ","320825","160412.5","56356.37","4676","166900","0","0.08","2.96","0","3.0444828153410164"
"STRIP","6571778A","12","3.5X3.5       ","145373","72686.5","83689.41","285953","89682","0","3.42","1.07","0","4.488441249615692"
"STD  ","6574499A","1","2X2           ","12370","6185","359513.04","0","68489","0","0","0.19","0","0.1905049118663401"
"STD  ","6575577B","23","3X3           ","295835","147917.5","88777.61","0","121016","0","0","1.36","0","1.363136493537053"
"STD  ","6575703A","1","1.5X1.5       ","20748","10374","137281.69","103864","0","0","0.76","0","0","0.7565757676788507"
"STRIP","6576907B","1","2X2           ","23506","11753","200903.74","0","23506","0","0","0.12","0","0.11700130619768453"
"STD  ","6577168A","3","2X2           ","74184","37092","744601.12","0","0","0","0","0","0","0"
"STD  ","6578526A","2","4X4           ","19062","9531","74351.85","0","0","0","0","0","0","0"
"STD  ","6578688B","32","4.5X3.5       ","236935","118467.5","67001.71","57455","73692","0","0.86","1.1","0","1.95736795374327"
"STD  ","6579768C","55","4X4           ","494615","247307.5","78882.61","8395","48486","0","0.11","0.61","0","0.7210841527682718"
"STRIP","6580945B","1","4.5X3.5       ","7918","3959","183063.27","0","7918","0","0","0.04","0","0.043252805437158426"
"STD  ","6588064A","1","3X3           ","5034","2517","0","0","5034","0","0","0","0","0"
"STRIP","6590151A","9","4X3           ","113676","56838","0","3399","0","0","0","0","0","0"
"STD  ","No_Tooling","4","3X3           ","31270","15635","120713.33","0","0","0","0","0","0","0"
