current_machine_instance,current_tooling_family,smsdw_machine_instance,smsdw_tooling_family,future_machine_instance,future_tooling_family
CLFTEA84,6525585A,CLFTEA84,6525585A                                     ,CLFTEA84,6525585A
CLFTEA85,6568858D,CLFTEA85,6568858D                                     ,CLFTEA85,6568858D
CLFTEA86,6518552B,CLFTEA86,6518552B                                     ,CLFTEA86,6518552B
CLFTEA87,6494476A,CLFTEA87,6494476A                                     ,CLFTEA87,6494476A
CLFTEA88,6518677A,CLFTEA88,6518677A                                     ,CLFTEA88,6518677A
CLFTEA89,6579768C,CLFTEA89,6579768C                                     ,CLFTEA89,6579768C
CLFTEA90,6552808A,CLFTEA90,6552808A                                     ,CLFTEA90,6552808A
CLFTEA92,,CLFTEA92,6579768C                                     ,CLFTEA92,6579768B
CLFTEA93,,CLFTEA93,6582044D                                     ,CLFTEA93,
CLFTEA94,,CLFTEA94,6582044D                                     ,CLFTEA94,
