ID,PKG Name,PKG_penalty
1,3X3,111229
2,3X2.5,0
3,6X5,627357
4,3X2,0
5,3.5X3.5,0
6,4.5X3.5,0
7,4X4,0
8,5X5,0
9,8X8,0
10,6X6,0
11,5X2.5,0
12,2X2,0
13,9X9,0
14,2.5X2.5,675202
15,1.5X1.5,0
16,7X5,0
17,3X4,0
18,5.5X3.5,0
19,7X7,0
20,4X3,0
21,4.0X3.5,0
22,dummy_pkg,0

0,-100,
97,S51123RGER1-BY,4X4,0
98,294700DSGR-G2K,2X2,0
99,54418ARTER1-G2,3X3,0
100,2592BLDRCR-G2K,3X3,0
101,S51362RVER-LNY,4.5X3.5,0
102,PS61230DRCR1-L,3X3,0
103,PS40040DRBRB-B,3X3,0
104,BQ24196RGER-RY,4X4,0
105,S61093DSKR-G2K,2.5X2.5,0
106,1275B1RUKR-G2K,3X3,0
107,S40192DRCR1-BY,3X3,0
108,S54620RGYR1-G2,3.5X3.5,0
109,SN2850RUYR-G2K,4X4,0
110,Q24736RGRR-G2K,3.5X3.5,0
111,PS54678RTER-G2,3X3,0
112,PS54821RHLR2-R,3.5X3.5,0
113,S62134ARGTR1-L,3X3,0
114,S62134CRGTR1-L,3X3,0
115,S53353DQPR2-CN,6X5,0
116,1409027RVER-LN,4.5X3.5,0
117,TPS2556DRBR2-R,3X3,0
118,TPS73701DRBR-B,3X3,0
119,TPS65197RUYR-G,4X4,0
120,PS54218RTER3-C,3X3,0
121,AFE031AIRGZR-C,7X7,0
122,C5578SRGER1-CK,4X4,0
123,BQ24770RUYR-G2,4X4,0
124,7A8300RGWR-G2K,5X5,0
125,PS62742DSSR-LK,3X2,0
126,TPS2553DRVR-L,2X2,0
127,D97374Q4M-LNKE,4.5X3.5,0
128,PS74801DRCR1-B,3X3,0
129,PS61200DRCT-LY,3X3,0
130,PS25810RVCR-G2,4X3,0
131,Q24314ADSGR-G2,2X2,0
132,S627440DSSR-LK,3X2,0
133,S51367RVER-LNY,4.5X3.5,0
134,DRV401AIRGWR-Z,5X5,0
135,TPS2555DRCR-C,3X3,0
136,A6130A2RTJR-LK,4X4,0
137,PS53312RGTR-LY,3X3,0
138,PS62175DQCR-RK,3X2,0
139,24737RGRR1-G2K,3.5X3.5,0
140,A8001DRBR2-G2K,3X3,0
141,24728HRGRR-G2K,3.5X3.5,0
142,CC24610DRBR-CK,3X3,0
143,N0706026RHHR-B,6X6,0
144,TPS25910RSAR-L,4X4,0
145,A2314AIDRBR-CK,3X3,0
146,BQ24133RGYR-G2,5.5X3.5,0
147,S7A8101DRBR-G2,3X3,0
148,PS63000DRCR-LY,3X3,0
149,TPS40193DRCR-B,3X3,0
