Machine_Instance,Machine_Family_Name,Lot_Name,Quantity,Lot_Weight,Device_Name,Tooling_Family_Name,Certification
CLFTEA24,ETS-2-64,5956847,13778,1647,592ALDRCR1-G2K,6547181A,1
CLFTEA24,ETS-2-64,5967541,13802,1335,592ALDRCR1-G2K,6547181A,1
CLFTEA24,ETS-2-64,5967540,13762,1335,592ALDRCR1-G2K,6547181A,1
CLFTEA24,ETS-2-64,5967542,13786,1335,592ALDRCR1-G2K,6547181A,1
CLFTEA24,ETS-2-64,5967548,11487,1335,592ALDRCR1-G2K,6547181A,1
CLFTEA24,ETS-2-64,5967545,13786,1335,592ALDRCR1-G2K,6547181A,1
CLFTEA24,ETS-2-64,5967547,13784,1335,592ALDRCR1-G2K,6547181A,1
CLFTEA25,ETS-2-64,5974073,10071,1146,24780SRUYR-G2K,6571495A,1
CLFTEA25,ETS-2-64,5974066,10061,1146,24780SRUYR-G2K,6571495A,1
CLFTEA25,ETS-2-64,5974072,10037,1146,24780SRUYR-G2K,6571495A,1
CLFTEA25,ETS-2-64,5974065,10069,1146,24780SRUYR-G2K,6571495A,1
CLFTEA25,ETS-2-64,5974070,10069,1146,24780SRUYR-G2K,6571495A,1
CLFTEA25,ETS-2-64,5980161,10061,960,24780SRUYR-G2K,6571495A,1
CLFTEA25,ETS-2-64,5981410,10058,926,24780SRUYR-G2K,6571495A,1
CLFTEA25,ETS-2-64,5981409,10058,926,24780SRUYR-G2K,6571495A,1
CLFTEA25,ETS-2-64,5964087,10073,1439,SN2850RUYR-G2K,6571495A,1
CLFTEA25,ETS-2-64,5964085,8004,1439,SN2850RUYR-G2K,6571495A,1
CLFTEA25,ETS-2-64,5964083,10062,1439,SN2850RUYR-G2K,6571495A,1
CLFTEA25,ETS-2-64,5964084,10044,1439,SN2850RUYR-G2K,6571495A,1
CLFTEA25,ETS-2-64,5967155,9989,1343,SN2850RUYR-G2K,6571495A,1
CLFTEA25,ETS-2-64,5970650,9980,1238,SN2850RUYR-G2K,6571495A,1
