"pkgtype","EDGE_LB","num_lots","pkg_size","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_Queue_1_tester"
"STD","6560309A","1","4X4","4456","2228","54660.07","0","0","0","0","0","0","0"
"STD","6566885A","5","3.5X3.5","24226","12113","58485.72","7431","72229","0","0.13","1.23","0","1.3620418796246332"
"STD","6568520B","4","5X5","30151","15075.5","61890.83","21314","23685","0","0.34","0.38","0","0.7270705531013237"
"STD","6568521A","1","5X5","7903","3951.5","84486.72","0","0","0","0","0","0","0"
"STD","6569306A","57","3X3","732110","366055","79965.56","27628","13757","0","0.35","0.17","0","0.5175352989461963"
"STD","6570242A","10","3.3X3.3","37992","18996","69380.83","10052","4693","0","0.14","0.07","0","0.2125226809768635"
"STRIP","6570316D","2","2X2","36921","18460.5","112889.4","12418","372436","0","0.11","3.3","0","3.409124328767803"
"STD","6570729C","12","8X8","21816","10908","2499.14","103475","13204","0","41.4","5.28","0","46.687660555231005"
"STD","6570774A","1","7X7","3537","1768.5","27367.92","0","0","0","0","0","0","0"
"STD","6570845A","10","3X3","127232","63616","88918.36","0","49892","0","0","0.56","0","0.5610989676372798"
"STD","6571495A","1","4X4","8574","4287","61763.96","4676","166900","0","0.08","2.7","0","2.777930689677281"
"STRIP","6571778A","23","3.5X3.5","286166","143083","83689.41","285953","89682","0","3.42","1.07","0","4.488441249615692"
"STD","6572424A","2","5X5","14016","7008","0","0","0","0","0","0","0","0"
"STD","6574499A","1","2X2","12370","6185","359513.04","0","68489","0","0","0.19","0","0.1905049118663401"
"STD","6575258A","9","4X4","80253","40126.5","50324.92","0","0","0","0","0","0","0"
"STD","6575577B","11","3X3","135232","67616","87657.61","0","121016","0","0","1.38","0","1.3805532685639046"
"STD","6575703A","1","1.5X1.5","20748","10374","137281.69","103864","0","0","0.76","0","0","0.7565757676788507"
"STRIP","6576907B","1","2X2","23506","11753","200903.74","0","23506","0","0","0.12","0","0.11700130619768453"
"STD","6578526A","2","4X4","14629","7314.5","74351.85","0","0","0","0","0","0","0"
"STD","6578688B","16","4.5X3.5","123745","61872.5","67001.71","57455","73692","0","0.86","1.1","0","1.95736795374327"
"STD","6579742C","2","4X4","13148","6574","19925.16","0","0","0","0","0","0","0"
"STD","6579768C","58","4X4","514321","257160.5","74498.11","8395","48486","0","0.11","0.65","0","0.7635227256100859"
"STRIP","6580945B","1","4.5X3.5","7918","3959","183063.27","0","7918","0","0","0.04","0","0.043252805437158426"
"STD","6588064A","1","3X3","5034","2517","0","0","5034","0","0","0","0","0"
"STRIP","6590151A","7","4X3","57459","28729.5","0","0","7660","0","0","0","0","0"
"STD","No_Tooling","17","3X3","102755","51377.5","95070.66","0","0","0","0","0","0","0"
