machine_instance,Tooling_Family,Machine_Family,Cerification
CLFTEA40,6513992A                                     ,ETM-0-64                                     ,1
CLFTEA41,6570774A                                     ,ETS-2-64                                     ,1
CLFTEA42,6566885A                                     ,ETM-2-64                                     ,1
CLFTEA43,6546054A                                     ,ETS-2-64                                     ,1
CLFTEA44,6515677C                                     ,ETS-2M-64                                    ,2
CLFTEA45,6471369E                                     ,ETM-2-64                                     ,1
CLFTEA46,6546767B                                     ,ETM-4-64                                     ,1
CLFTEA47,6571495A                                     ,ETS-2-64                                     ,1
CLFTEA48,6555551A                                     ,ETS-0-64                                     ,1
CLFTEA49,6570774A                                     ,ETS-2-64                                     ,1
CLFTEA50,6544140B                                     ,ETS-2-64                                     ,1
CLFTEA51,6569094B                                     ,ETM-2M-64                                    ,1
CLFTEA52,6579768C                                     ,ETM-5-128                                    ,1
CLFTEA53,6579768C                                     ,ETM-5-128                                    ,1
CLFTEA54,6579768C                                     ,ETM-5-128                                    ,1
CLFTEA55,6586662A                                     ,ETS-200FT                                    ,1
CLFTEA56,6519267C                                     ,ETS-0-64                                     ,1
CLFTEA57,6515677C                                     ,ETS-2M-64                                    ,2
CLFTEA58,6569306A                                     ,ETS-2-64                                     ,1
CLFTEA59,6479550B                                     ,ETS-0-64                                     ,1
CLFTEA60,6515577B                                     ,ETS-2-64                                     ,1
CLFTEA61,6543758C                                     ,ETS-2-64                                     ,1
CLFTEA62,6568521A                                     ,ETS-2-64                                     ,1
CLFTEA63,6515577B                                     ,ETS-2-64                                     ,1
CLFTEA64,6514494A                                     ,ETS-2-64                                     ,1
CLFTEA65,6569306A                                     ,ETS-2-64                                     ,1
CLFTEA66,6571495A                                     ,ETS-2-64                                     ,1
CLFTEA67,6522212C                                     ,ETS-2-64                                     ,1
CLFTEA68,6525585A                                     ,ETS-2-64                                     ,1
CLFTEA69,6525585A                                     ,ETS-2-64                                     ,1
CLFTEA70,6569306A                                     ,ETS-2-64                                     ,1
CLFTEA71,6487925B                                     ,ETS-0-64                                     ,1
CLFTEA72,6527607B                                     ,ETS-2-64                                     ,2
CLFTEA73,6548880A                                     ,ETM-2-64                                     ,1
CLFTEA74,6543758C                                     ,ETS-2-64                                     ,1
CLFTEA75,6543758C                                     ,ETS-2-64                                     ,1
CLFTEA76,6575577B                                     ,ETS-2-64                                     ,1
CLFTEA77,6507988A                                     ,ETS-2-64                                     ,1
CLFTEA79,6577168A                                     ,ETS-2-64                                     ,1
CLFTEA80,6525600B                                     ,ETS-0-64                                     ,2
CLFTEA81,6520958B                                     ,ETS-2-64                                     ,1
CLFTEA82,6487925B                                     ,ETS-0-64                                     ,1
CLFTEA83,6570774A                                     ,ETS-2-64                                     ,1
CLFTEA84,6525585A                                     ,ETS-2-64                                     ,1
CLFTEA85,6575258A                                     ,ETS-2-64                                     ,1
CLFTEA86,6541231B                                     ,ETS-2-64                                     ,1
CLFTEA87,6556725A                                     ,ETM-2-64                                     ,1
CLFTEA88,6487839B                                     ,ETS-2-64                                     ,1
CLFTEA89,6579768C                                     ,ETM-5-128                                    ,1
CLFTEA90,6579768C                                     ,ETM-5-128                                    ,1
CLFTEA92,6579768C                                     ,ETM-5-128                                    ,1
CLFTEA93,6582044D                                     ,ETS-200FT                                    ,1
CLFTEA94,6582044D                                     ,ETS-200FT                                    ,1
CLFTEA96,6577359A                                     ,E88-1-0211010                                ,1
CLFTEA96,6506370A                                     ,ETS-0-64                                     ,1
