machine_family,Machine_Instance,machine_family_name,initial_tooling_family,Initial_Certification
ETS-2-64,CLFTEA34,ETS-2-64,6570729C,1
ETS-2-64,CLFTEA35,ETS-2-64,6513884B,1
ETS-2-64,CLFTEA36,ETS-2-64,6570774A,1
ETS-2-64,CLFTEA38,ETS-2-64,6525585A,1
ETS-2-64,CLFTEA39,ETS-2-64,6498316A,1
ETS-2-64,CLFTEA41,ETS-2-64,6570774A,1
ETS-2-64,CLFTEA42,ETS-2-64,6566885A,1
ETS-2-64,CLFTEA43,ETS-2-64,,
ETS-2-64,CLFTEA45,ETS-2-64,6471369E,1
ETS-2-64,CLFTEA47,ETS-2-64,6571495A,1
ETS-2-64,CLFTEA48,ETS-2-64,6555551A,1
ETS-2-64,CLFTEA49,ETS-2-64,6570774A,1
ETS-2-64,CLFTEA50,ETS-2-64,6545456B,1
ETS-2-64,CLFTEA57,ETS-2-64,6515677C,2
ETS-2-64,CLFTEA59,ETS-2-64,6479550B,1
ETS-2-64,CLFTEA60,ETS-2-64,6515577B,1
ETS-2-64,CLFTEA61,ETS-2-64,6543758C,1
ETS-2-64,CLFTEA62,ETS-2-64,6568521A,1
ETS-2-64,CLFTEA63,ETS-2-64,6515577B,1
ETS-2-64,CLFTEA64,ETS-2-64,6514494A,1
ETS-2-64,CLFTEA65,ETS-2-64,6569306A,1
ETS-2-64,CLFTEA66,ETS-2-64,6571495A,1
ETS-2-64,CLFTEA67,ETS-2-64,6522212C,1
ETS-2-64,CLFTEA68,ETS-2-64,6525585A,1
ETS-2-64,CLFTEA69,ETS-2-64,6525585A,1
ETS-2-64,CLFTEA70,ETS-2-64,6569306A,1
ETS-2-64,CLFTEA72,ETS-2-64,,
ETS-2-64,CLFTEA73,ETS-2-64,6548880A,1
ETS-2-64,CLFTEA74,ETS-2-64,6543758C,1
ETS-2-64,CLFTEA75,ETS-2-64,6543758C,1
ETS-2-64,CLFTEA76,ETS-2-64,6575577B,1
ETS-2-64,CLFTEA77,ETS-2-64,6553335B,3
ETS-2-64,CLFTEA78,ETS-2-64,,
ETS-2-64,CLFTEA80,ETS-2-64,6571495A,1
ETS-2-64,CLFTEA81,ETS-2-64,6520958B,1
ETS-2-64,CLFTEA83,ETS-2-64,6570774A,1
ETS-2-64,CLFTEA84,ETS-2-64,6525585A,1
ETS-2-64,CLFTEA85,ETS-2-64,6575258A,1
ETS-2-64,CLFTEA86,ETS-2-64,6541231B,1
ETS-2-64,CLFTEA88,ETS-2-64,6487839B,1
ETS-2M-64,CLFTEA20,ETS-2M-64,,
ETS-2M-64,CLFTEA31,ETS-2M-64,6515677C,2
ETS-2M-64,CLFTEA44,ETS-2M-64,6515677C,2
ETS-2M-64,CLFTEA51,ETS-2M-64,6569094B,1
ETS-2M-64,CLFTEA79,ETS-2M-64,6545098B,1
ETS-2Q-64,CLFTEA56,ETS-2Q-64,6519267C,1
ETS-4M-128,CLFTEA95,ETS-4M-128,,
ETS-S-64,CLFTEA91,ETS-S-64,,
