LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOOT_TIME,MACHINE_INSTANCE,PKG_size,FLOW
5842025,Q24610RGER-G2K,RGE300       ,24,10072,826.00,5842025,4410,1,13.1,12.41,8.11,                   ,9/16/2015 10:06,,4X4,STD
5851593,Q24296MRGER-G2,RGE300       ,24,7307,552.00,5851593,4410,1,13.1,12.41,5.38,                   ,9/16/2015 10:06,,4X4,STD
5851592,Q24296MRGER-G2,RGE300       ,24,10069,552.00,5851592,4410,1,13.1,12.41,5.38,                   ,9/16/2015 10:06,,4X4,STD
5855995,Q24296MRGER-G2,RGE300       ,24,10072,396.00,5855995,4410,1,13.1,12.41,3.82,                   ,9/16/2015 10:06,,4X4,STD
5796277,AC7760IRHAR-CK,RHA          ,40,4454,2675.00,5796277,4410,1,17.51,12.51,22.29,                   ,9/16/2015 10:06,,6X6,STD
5786041,BQ24311DSGR-G2,DSGST        ,8,23506,2791.00,5786041,4410,1,15.74,12.61,25.33,                   ,9/16/2015 10:06,,2X2,STRIP
5828900,S62067DSGR1-G2,DSGST        ,8,24837,1414.00,5828900,4410,1,14.97,12.67,12.38,                   ,9/16/2015 10:06,,2X2,STRIP
5655963,D95373BQ5M1-LN,DQPCLIP      ,12,3295,7129.00,5655963,4420,1,22.39,17.3,66.74,                   ,9/16/2015 10:06,,6X5,CLIP
5655964,D95373BQ5M1-LN,DQPCLIP      ,12,3354,7129.00,5655964,4420,1,22.39,17.3,66.74,                   ,9/16/2015 10:06,,6X5,CLIP
5825432,1211013RGER-LK,RGE          ,24,7608,1351.00,5825432,4410,1,12.86,12.19,13.39,9/16/2015 3:41,9/16/2015 10:06,CLFTEA29,4X4,STD
5826411,BQ24616RGER-LK,RGE          ,24,10067,1324.00,5826411,4410,1,12.86,12.19,13.12,9/16/2015 7:44,9/16/2015 10:06,CLFTEA9,4X4,STD
5826412,BQ24616RGER-LK,RGE          ,24,9674,1324.00,5826412,4410,1,12.86,12.19,13.12,                   ,9/16/2015 10:06,,4X4,STD
5838699,BQ24616RGER-LK,RGE          ,24,9372,933.00,5838699,4410,1,12.93,12.19,9.14,                   ,9/16/2015 10:06,,4X4,STD
5838708,BQ24616RGER-LK,RGE          ,24,6668,933.00,5838708,4410,1,12.93,12.19,9.14,                   ,9/16/2015 10:06,,4X4,STD
5838701,BQ24616RGER-LK,RGE          ,24,8731,933.00,5838701,4410,1,12.93,12.19,9.14,                   ,9/16/2015 10:06,,4X4,STD
5838702,BQ24616RGER-LK,RGE          ,24,10039,933.00,5838702,4410,1,12.93,12.19,9.14,                   ,9/16/2015 10:06,,4X4,STD
5838704,BQ24616RGER-LK,RGE          ,24,5012,933.00,5838704,4410,1,12.93,12.19,9.14,                   ,9/16/2015 10:06,,4X4,STD
5838705,BQ24616RGER-LK,RGE          ,24,9977,933.00,5838705,4410,1,12.93,12.19,9.14,                   ,9/16/2015 10:06,,4X4,STD
5838707,BQ24616RGER-LK,RGE          ,24,9974,933.00,5838707,4410,1,12.93,12.19,9.14,                   ,9/16/2015 10:06,,4X4,STD
5838703,BQ24616RGER-LK,RGE          ,24,9399,933.00,5838703,4410,1,12.93,12.19,9.14,                   ,9/16/2015 10:06,,4X4,STD
5839430,PS53124RGER-JK,RGE          ,24,7138,912.00,5839430,4410,1,12.93,12.19,8.93,                   ,9/16/2015 10:06,,4X4,STD
5826373,S53311RGTR1-G2,RGT300       ,16,6869,1313.00,5826373,4410,1,12.97,12.41,13.12,                   ,9/16/2015 10:06,,3X3,STD
5826372,S53311RGTR1-G2,RGT300       ,16,9962,1313.00,5826372,4410,1,12.97,12.41,13.12,                   ,9/16/2015 10:06,,3X3,STD
5828974,V62090RGTR1-G2,RGT300       ,16,7084,1240.00,5828974,4410,1,12.97,12.41,12.38,                   ,9/16/2015 10:06,,3X3,STD
5832999,V62090RGTR1-G2,RGT300       ,16,13794,1114.00,5832999,4410,1,12.97,12.41,11.13,                   ,9/16/2015 10:06,,3X3,STD
5832998,V62090RGTR1-G2,RGT300       ,16,12608,1114.00,5832998,4410,1,12.97,12.41,11.13,                   ,9/16/2015 10:06,,3X3,STD
5833000,V62090RGTR1-G2,RGT300       ,16,13729,1114.00,5833000,4410,1,12.97,12.41,11.13,                   ,9/16/2015 10:06,,3X3,STD
5832997,V62090RGTR1-G2,RGT300       ,16,13796,1114.00,5832997,4410,1,12.97,12.41,11.13,                   ,9/16/2015 10:06,,3X3,STD
5833002,V62090RGTR1-G2,RGT300       ,16,11623,1114.00,5833002,4410,1,12.97,12.41,11.13,                   ,9/16/2015 10:06,,3X3,STD
5833001,V62090RGTR1-G2,RGT300       ,16,13775,1114.00,5833001,4410,1,12.97,12.41,11.13,                   ,9/16/2015 10:06,,3X3,STD
5846750,V62090RGTR1-G2,RGT300       ,16,13763,694.00,5846750,4410,1,13.1,12.41,6.79,                   ,9/16/2015 10:06,,3X3,STD
5846749,V62090RGTR1-G2,RGT300       ,16,13721,694.00,5846749,4410,1,13.1,12.41,6.79,                   ,9/16/2015 10:06,,3X3,STD
5846746,V62090RGTR1-G2,RGT300       ,16,13718,694.00,5846746,4410,1,13.1,12.41,6.79,                   ,9/16/2015 10:06,,3X3,STD
5846744,V62090RGTR1-G2,RGT300       ,16,13743,694.00,5846744,4410,1,13.1,12.41,6.79,                   ,9/16/2015 10:06,,3X3,STD
5846752,V62090RGTR1-G2,RGT300       ,16,13798,694.00,5846752,4410,1,13.1,12.41,6.79,                   ,9/16/2015 10:06,,3X3,STD
5846748,V62090RGTR1-G2,RGT300       ,16,13797,694.00,5846748,4410,1,13.1,12.41,6.79,                   ,9/16/2015 10:06,,3X3,STD
5846747,V62090RGTR1-G2,RGT300       ,16,13804,694.00,5846747,4410,1,13.1,12.41,6.79,                   ,9/16/2015 10:06,,3X3,STD
5846753,V62090RGTR1-G2,RGT300       ,16,13723,694.00,5846753,4410,1,13.1,12.41,6.79,                   ,9/16/2015 10:06,,3X3,STD
5846745,V62090RGTR1-G2,RGT300       ,16,13799,694.00,5846745,4410,1,13.1,12.41,6.79,                   ,9/16/2015 10:06,,3X3,STD
5849705,V62090RGTR1-G2,RGT300       ,16,13805,605.00,5849705,4410,1,13.1,12.41,5.91,                   ,9/16/2015 10:06,,3X3,STD
5849711,V62090RGTR1-G2,RGT300       ,16,13767,605.00,5849711,4410,1,13.1,12.41,5.91,                   ,9/16/2015 10:06,,3X3,STD
5849708,V62090RGTR1-G2,RGT300       ,16,13783,605.00,5849708,4410,1,13.1,12.41,5.91,                   ,9/16/2015 10:06,,3X3,STD
5849700,V62090RGTR1-G2,RGT300       ,16,13785,605.00,5849700,4410,1,13.1,12.41,5.91,                   ,9/16/2015 10:06,,3X3,STD
5853023,V62090RGTR1-G2,RGT300       ,16,13736,498.00,5853023,4410,1,13.1,12.41,4.83,                   ,9/16/2015 10:06,,3X3,STD
5853024,V62090RGTR1-G2,RGT300       ,16,9603,498.00,5853024,4410,1,13.1,12.41,4.83,                   ,9/16/2015 10:06,,3X3,STD
5821864,S62130ARGTRS-L,RGTLLF       ,16,16827,1437.00,5821864,4410,1,13.44,12.97,14.45,                   ,9/16/2015 10:06,,3X3,STD
5831813,S62130DRGTR-LY,RGTLLF       ,16,15624,1139.00,5831813,4410,1,13.44,12.97,11.46,                   ,9/16/2015 10:06,,3X3,STD
5832832,V62130ARGTR-LY,RGTLLF       ,16,8453,1107.00,5832832,4410,1,13.44,12.97,11.15,                   ,9/16/2015 10:06,,3X3,STD
5834928,V62150ARGTR-LY,RGTLLF       ,16,10002,1037.00,5834928,4410,1,13.44,12.97,10.45,9/16/2015 8:23,9/16/2015 10:06,CLFTEA30,3X3,STD
5834924,V62150ARGTR-LY,RGTLLF       ,16,16911,1037.00,5834924,4410,1,13.44,12.97,10.45,                   ,9/16/2015 10:06,,3X3,STD
5834927,V62150ARGTR-LY,RGTLLF       ,16,8449,1037.00,5834927,4410,1,13.44,12.97,10.45,9/16/2015 8:03,9/16/2015 10:06,CLFTEA87,3X3,STD
5835711,S62130ARGTRS-L,RGTLLF       ,16,16906,1005.00,5835711,4410,1,13.44,12.97,10.13,                   ,9/16/2015 10:06,,3X3,STD
5835705,S62130ARGTRS-L,RGTLLF       ,16,16852,1005.00,5835705,4410,1,13.44,12.97,10.13,                   ,9/16/2015 10:06,,3X3,STD
5835709,S62130ARGTRS-L,RGTLLF       ,16,16874,1005.00,5835709,4410,1,13.44,12.97,10.13,                   ,9/16/2015 10:06,,3X3,STD
5835708,S62130ARGTRS-L,RGTLLF       ,16,16865,1005.00,5835708,4410,1,13.44,12.97,10.13,                   ,9/16/2015 10:06,,3X3,STD
5838144,S62130ARGTRS-L,RGTLLF       ,16,16891,921.00,5838144,4410,1,13.44,12.97,9.29,                   ,9/16/2015 10:06,,3X3,STD
5838143,S62130ARGTRS-L,RGTLLF       ,16,16919,921.00,5838143,4410,1,13.44,12.97,9.29,                   ,9/16/2015 10:06,,3X3,STD
5838148,S62130ARGTRS-L,RGTLLF       ,16,16353,921.00,5838148,4410,1,13.44,12.97,9.29,                   ,9/16/2015 10:06,,3X3,STD
5838145,S62130ARGTRS-L,RGTLLF       ,16,16926,921.00,5838145,4410,1,13.44,12.97,9.29,                   ,9/16/2015 10:06,,3X3,STD
5124573,TPS71745DSER-L,DSEST        ,6,41926,22401.00,5124573,4410,1,16.29,13.2,221.46,                   ,9/16/2015 10:06,,1.5X1.5,STRIP
5199074,TPS71745DSER-L,DSEST        ,6,39511,20429.00,5199074,4410,1,18.67,13.2,199.36,                   ,9/16/2015 10:06,,1.5X1.5,STRIP
5199075,TPS71745DSER-L,DSEST        ,6,20891,20429.00,5199075,4410,1,18.67,13.2,199.36,                   ,9/16/2015 10:06,,1.5X1.5,STRIP
5199073,TPS71745DSER-L,DSEST        ,6,31323,20429.00,5199073,4410,1,18.67,13.2,199.36,                   ,9/16/2015 10:06,,1.5X1.5,STRIP
5835744,771803DPJR-G2K,DPJST300     ,8,16127,1189.00,5835744,4410,1,14.92,12.61,10.13,9/16/2015 8:01,9/16/2015 10:06,CLFTEA76,3X4,STD
5841977,771808DPJR-G2K,DPJST300     ,8,16119,1019.00,5841977,4410,1,15.23,12.61,8.11,                   ,9/16/2015 10:06,,3X4,STD
5826223,PS63000DRCR-LY,DRCLLF       ,10,7035,1314.00,5826223,4410,1,13.17,12.61,13.12,                   ,9/16/2015 10:06,,3X3,STD
5829018,PS63000DRCR-LY,DRCLLF       ,10,16854,1240.00,5829018,4410,1,13.17,12.61,12.38,9/16/2015 7:43,9/16/2015 10:06,CLFTEA3,3X3,STD
5829019,PS63000DRCR-LY,DRCLLF       ,10,10974,1240.00,5829019,4410,1,13.17,12.61,12.38,                   ,9/16/2015 10:06,,3X3,STD
5845540,S61020DRCR1-RY,DRCLLF       ,10,11001,738.00,5845540,4410,1,13.36,12.57,7.13,                   ,9/16/2015 10:06,,3X3,STD
5815514,BQ24130RHLR-G2,RHL          ,20,9227,1638.00,5815514,4410,1,13.03,12.51,16.41,                   ,9/16/2015 10:06,,4.5X3.5,STD
5712667,PS2561DRCR1-LY,DRCST        ,10,6950,5050.00,5712667,4410,1,15.24,12.46,48.27,                   ,9/16/2015 10:06,,3X3,STRIP
5847677,PS74801DRCR1-B,DRCST        ,10,13823,856.00,5847677,4410,1,15.12,12.46,6.44,                   ,9/16/2015 10:06,,3X3,STRIP
5826641,TPS2590RSAR-G2,RSA300       ,16,10046,1313.00,5826641,4410,1,12.97,12.41,13.11,                   ,9/16/2015 10:06,,4X4,STD
5826640,TPS2590RSAR-G2,RSA300       ,16,10029,1313.00,5826640,4410,1,12.97,12.41,13.11,                   ,9/16/2015 10:06,,4X4,STD
5838752,TPS2420RSAT-G2,RSA300       ,16,5031,928.00,5838752,4410,1,13.1,12.41,9.14,                   ,9/16/2015 10:06,,4X4,STD
5838748,TPS2420RSAR-G2,RSA300       ,16,10069,928.00,5838748,4410,1,13.1,12.41,9.14,                   ,9/16/2015 10:06,,4X4,STD
5838750,TPS2420RSAR-G2,RSA300       ,16,6452,928.00,5838750,4410,1,13.1,12.41,9.14,                   ,9/16/2015 10:06,,4X4,STD
5844886,TPS2590RSAR-G2,RSA300       ,16,7964,743.00,5844886,4410,1,13.1,12.41,7.28,                   ,9/16/2015 10:06,,4X4,STD
5828038,UCC27526DSDR-R,DSD          ,8,13718,1262.00,5828038,4410,1,13.02,12.47,12.61,                   ,9/16/2015 10:06,,3X3,STD
5828039,UCC27526DSDR-R,DSD          ,8,11164,1262.00,5828039,4410,1,13.02,12.47,12.61,                   ,9/16/2015 10:06,,3X3,STD
5717215,PS61088RHLR-G2,RHL300ST     ,20,7918,4908.00,5717215,4410,1,15.41,12.61,46.83,                   ,9/16/2015 10:06,,4.5X3.5,STRIP
5806133,S62740DSSR1-LK,DSSST        ,12,11012,2095.00,5806133,4410,1,14.7,12.67,19.47,9/16/2015 8:06,9/16/2015 10:06,CLFTEA70,3X2,STRIP
5818946,PS62745DSSR-LK,DSSST        ,12,17218,1705.00,5818946,4410,1,14.97,12.67,15.3,                   ,9/16/2015 10:06,,3X2,STRIP
5828935,S62740DSSR1-LK,DSSST        ,12,8640,1414.00,5828935,4410,1,14.97,12.67,12.38,                   ,9/16/2015 10:06,,3X2,STRIP
5828933,S62740DSSR1-LK,DSSST        ,12,17241,1414.00,5828933,4410,1,14.97,12.67,12.38,                   ,9/16/2015 10:06,,3X2,STRIP
5828932,S62740DSSR1-LK,DSSST        ,12,17248,1414.00,5828932,4410,1,14.97,12.67,12.38,                   ,9/16/2015 10:06,,3X2,STRIP
5828928,S62740DSSR1-LK,DSSST        ,12,17183,1414.00,5828928,4410,1,14.97,12.67,12.38,                   ,9/16/2015 10:06,,3X2,STRIP
5828929,S62740DSSR1-LK,DSSST        ,12,17266,1414.00,5828929,4410,1,14.97,12.67,12.38,                   ,9/16/2015 10:06,,3X2,STRIP
5834854,S62740DSSR1-LK,DSSST        ,12,17273,1222.00,5834854,4410,1,14.97,12.67,10.47,                   ,9/16/2015 10:06,,3X2,STRIP
5834857,S62740DSSR1-LK,DSSST        ,12,17176,1222.00,5834857,4410,1,14.97,12.67,10.47,                   ,9/16/2015 10:06,,3X2,STRIP
5834860,S62740DSSR1-LK,DSSST        ,12,12383,1222.00,5834860,4410,1,14.97,12.67,10.47,                   ,9/16/2015 10:06,,3X2,STRIP
5837555,S62740DSSR1-LK,DSSST        ,12,17227,1121.00,5837555,4410,1,14.97,12.67,9.46,                   ,9/16/2015 10:06,,3X2,STRIP
5837553,S62740DSSR1-LK,DSSST        ,12,17276,1121.00,5837553,4410,1,14.97,12.67,9.46,                   ,9/16/2015 10:06,,3X2,STRIP
5837554,S62740DSSR1-LK,DSSST        ,12,17274,1121.00,5837554,4410,1,14.97,12.67,9.46,                   ,9/16/2015 10:06,,3X2,STRIP
5837556,S62740DSSR1-LK,DSSST        ,12,17278,1121.00,5837556,4410,1,14.97,12.67,9.46,                   ,9/16/2015 10:06,,3X2,STRIP
5837552,S62740DSSR1-LK,DSSST        ,12,17161,1121.00,5837552,4410,1,14.97,12.67,9.46,                   ,9/16/2015 10:06,,3X2,STRIP
5840979,PS62742DSSR-LK,DSSST        ,12,17216,1050.00,5840979,4410,1,15.28,12.67,8.43,                   ,9/16/2015 10:06,,3X2,STRIP
5840978,PS62742DSSR-LK,DSSST        ,12,17269,1050.00,5840978,4410,1,15.28,12.67,8.43,                   ,9/16/2015 10:06,,3X2,STRIP
5840977,PS62742DSSR-LK,DSSST        ,12,17250,1050.00,5840977,4410,1,15.28,12.67,8.43,                   ,9/16/2015 10:06,,3X2,STRIP
5844137,S62740DSSR1-LK,DSSST        ,12,17275,955.00,5844137,4410,1,15.28,12.67,7.48,                   ,9/16/2015 10:06,,3X2,STRIP
5844138,S62740DSSR1-LK,DSSST        ,12,17279,955.00,5844138,4410,1,15.28,12.67,7.48,                   ,9/16/2015 10:06,,3X2,STRIP
5844143,S62740DSSR1-LK,DSSST        ,12,17274,955.00,5844143,4410,1,15.28,12.67,7.48,                   ,9/16/2015 10:06,,3X2,STRIP
5844146,S62740DSSR1-LK,DSSST        ,12,12442,955.00,5844146,4410,1,15.28,12.67,7.48,                   ,9/16/2015 10:06,,3X2,STRIP
5844139,S62740DSSR1-LK,DSSST        ,12,17277,955.00,5844139,4410,1,15.28,12.67,7.48,                   ,9/16/2015 10:06,,3X2,STRIP
5844141,S62740DSSR1-LK,DSSST        ,12,17279,955.00,5844141,4410,1,15.28,12.67,7.48,                   ,9/16/2015 10:06,,3X2,STRIP
5844145,S62740DSSR1-LK,DSSST        ,12,17272,955.00,5844145,4410,1,15.28,12.67,7.48,                   ,9/16/2015 10:06,,3X2,STRIP
5844144,S62740DSSR1-LK,DSSST        ,12,17256,955.00,5844144,4410,1,15.28,12.67,7.48,                   ,9/16/2015 10:06,,3X2,STRIP
5844140,S62740DSSR1-LK,DSSST        ,12,17271,955.00,5844140,4410,1,15.28,12.67,7.48,                   ,9/16/2015 10:06,,3X2,STRIP
5847667,S62740DSSR1-LK,DSSST        ,12,17280,851.00,5847667,4410,1,15.28,12.67,6.44,                   ,9/16/2015 10:06,,3X2,STRIP
5819500,SD97370Q5M2-LN,DQPCLIP      ,22,6415,1589.00,5819500,4410,1,16.54,15.21,15.11,                   ,9/16/2015 10:06,,6X5,CLIP
5839233,SD97370Q5M2-LN,DQPCLIP      ,22,3610,985.00,5839233,4410,1,16.63,15.21,8.98,                   ,9/16/2015 10:06,,6X5,CLIP
5852547,SD97370Q5M2-LN,DQPCLIP      ,22,6836,903.00,5852547,4410,1,16.63,15.21,8.15,                   ,9/16/2015 10:06,,6X5,CLIP
5841788,SD97370Q5M2-LN,DQPCLIP      ,22,6741,903.00,5841788,4410,1,16.63,15.21,8.15,                   ,9/16/2015 10:06,,6X5,CLIP
5842223,PS53319DQPR-LN,DQPCLIP      ,22,6833,896.00,5842223,4410,1,16.63,15.21,8.09,                   ,9/16/2015 10:06,,6X5,CLIP
5842224,PS53319DQPR-LN,DQPCLIP      ,22,6812,896.00,5842224,4410,1,16.63,15.21,8.09,9/16/2015 7:32,9/16/2015 10:06,CLFTEA27,6X5,CLIP
5844624,SD97370Q5M2-LN,DQPCLIP      ,22,6797,824.00,5844624,4410,1,16.63,15.21,7.37,9/16/2015 8:29,9/16/2015 10:06,CLFTEA6,6X5,CLIP
5844616,SD97370Q5M2-LN,DQPCLIP      ,22,6775,824.00,5844616,4410,1,16.63,15.21,7.37,                   ,9/16/2015 10:06,,6X5,CLIP
5844621,SD97370Q5M2-LN,DQPCLIP      ,22,6761,824.00,5844621,4410,1,16.63,15.21,7.37,9/16/2015 6:50,9/16/2015 10:06,CLFTEA51,6X5,CLIP
5845346,PS53319DQPR-LN,DQPCLIP      ,22,6902,801.00,5845346,4410,1,16.63,15.21,7.14,                   ,9/16/2015 10:06,,6X5,CLIP
5845349,PS53319DQPR-LN,DQPCLIP      ,22,6865,801.00,5845349,4410,1,16.63,15.21,7.14,                   ,9/16/2015 10:06,,6X5,CLIP
5830456,PS53513RVER-LN,RVECLIP      ,28,77,9567.00,5830456,4410,1,20.95,15.21,90.48,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5843239,S51367RVER-LNY,RVECLIP      ,28,4586,3924.00,5843239,4410,1,20.42,15.21,34.58,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5701122,1362RVER1-LQR#,RVECLIP      ,28,7570,3586.00,5701122,4410,1,0,15.48,51.89,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5825763,PS53513RVER-LN,RVECLIP      ,28,7708,1406.00,5825763,4410,1,16.54,15.21,13.27,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5825754,PS53513RVER-LN,RVECLIP      ,28,7858,1406.00,5825754,4410,1,16.54,15.21,13.27,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5843079,PS53513RVER-LN,RVECLIP      ,28,7688,1406.00,5843079,4410,1,16.54,15.21,13.27,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5825762,PS53513RVER-LN,RVECLIP      ,28,7722,1406.00,5825762,4410,1,16.54,15.21,13.27,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5825756,PS53513RVER-LN,RVECLIP      ,28,5337,1406.00,5825756,4410,1,16.54,15.21,13.27,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5825758,PS53513RVER-LN,RVECLIP      ,28,7632,1406.00,5825758,4410,1,16.54,15.21,13.27,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5825759,PS53513RVER-LN,RVECLIP      ,28,7835,1406.00,5825759,4410,1,16.54,15.21,13.27,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5825760,PS53513RVER-LN,RVECLIP      ,28,7759,1406.00,5825760,4410,1,16.54,15.21,13.27,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5825761,PS53513RVER-LN,RVECLIP      ,28,7575,1406.00,5825761,4410,1,16.54,15.21,13.27,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5829642,PS53513RVER-LN,RVECLIP      ,28,7876,1290.00,5829642,4410,1,16.54,15.21,12.11,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5829633,PS53513RVER-LN,RVECLIP      ,28,7524,1290.00,5829633,4410,1,16.54,15.21,12.11,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5829631,PS53513RVER-LN,RVECLIP      ,28,7726,1290.00,5829631,4410,1,16.54,15.21,12.11,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5829632,PS53513RVER-LN,RVECLIP      ,28,7689,1290.00,5829632,4410,1,16.54,15.21,12.11,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5829643,PS53513RVER-LN,RVECLIP      ,28,7509,1290.00,5829643,4410,1,16.54,15.21,12.11,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5848298,PS53513RVER-LN,RVECLIP      ,28,7671,1290.00,5848298,4410,1,16.54,15.21,12.11,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5829641,PS53513RVER-LN,RVECLIP      ,28,7876,1290.00,5829641,4410,1,16.54,15.21,12.11,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5829635,PS53513RVER-LN,RVECLIP      ,28,7676,1290.00,5829635,4410,1,16.54,15.21,12.11,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5829634,PS53513RVER-LN,RVECLIP      ,28,7689,1290.00,5829634,4410,1,16.54,15.21,12.11,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5829640,PS53513RVER-LN,RVECLIP      ,28,7756,1290.00,5829640,4410,1,16.54,15.21,12.11,9/16/2015 8:19,9/16/2015 10:06,CLFTEA56,4.5X3.5,CLIP
5832734,PS53513RVER-LN,RVECLIP      ,28,7828,1193.00,5832734,4410,1,16.54,15.21,11.15,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5832736,PS53513RVER-LN,RVECLIP      ,28,7737,1193.00,5832736,4410,1,16.54,15.21,11.15,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5832738,PS53513RVER-LN,RVECLIP      ,28,7869,1193.00,5832738,4410,1,16.54,15.21,11.15,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5832733,PS53513RVER-LN,RVECLIP      ,28,7748,1193.00,5832733,4410,1,16.54,15.21,11.15,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
5832737,PS53513RVER-LN,RVECLIP      ,28,7825,1193.00,5832737,4410,1,16.54,15.21,11.15,                   ,9/16/2015 10:06,,4.5X3.5,CLIP
