LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOT_TIME,MACHINE_INSTANCE,,
5580195,24725ARGRR-G2K,RGR300       ,20,14145,9.49,5580195,4410,1,14.79,13.85,9.1,                   ,6/29/2015 2:06,,,
5574249,24725ARGRR-G2K,RGR300       ,20,14201,11.2,5574249,4410,1,14.79,13.85,10.81,6/28/2015 11:33,6/29/2015 2:06,CLFTEA72,,
5580193,24725ARGRR-G2K,RGR300       ,20,13199,9.49,5580193,4410,1,14.79,13.85,9.1,                   ,6/29/2015 2:06,,,
5580201,24725ARGRR-G2K,RGR300       ,20,10233,9.49,5580201,4410,1,14.79,13.85,9.1,                   ,6/29/2015 2:06,,,
5580194,24725ARGRR-G2K,RGR300       ,20,7546,9.49,5580194,4410,1,14.79,13.85,9.1,                   ,6/29/2015 2:06,,,
5574250,24725ARGRR-G2K,RGR300       ,20,15104,11.2,5574250,4410,1,14.79,13.85,10.81,                   ,6/29/2015 2:06,,,
5580186,24725ARGRR-G2K,RGR300       ,20,15067,9.49,5580186,4410,1,14.79,13.85,9.1,                   ,6/29/2015 2:06,,,
5574248,24725ARGRR-G2K,RGR300       ,20,15112,11.2,5574248,4410,1,14.79,13.85,10.81,                   ,6/29/2015 2:06,,,
5586914,24725ARGRR-G2K,RGR300       ,20,14712,7.53,5586914,4410,1,14.79,13.85,7.14,                   ,6/29/2015 2:06,,,
5580196,24725ARGRR-G2K,RGR300       ,20,15044,9.49,5580196,4410,1,14.79,13.85,9.1,                   ,6/29/2015 2:06,,,
5580192,24725ARGRR-G2K,RGR300       ,20,15094,9.49,5580192,4410,1,14.79,13.85,9.1,                   ,6/29/2015 2:06,,,
5580189,24725ARGRR-G2K,RGR300       ,20,15104,9.49,5580189,4410,1,14.79,13.85,9.1,                   ,6/29/2015 2:06,,,
5583497,24735RGRR1-G2K,RGR300       ,20,15061,8.53,5583497,4410,1,14.76,13.82,8.14,                   ,6/29/2015 2:06,,,
