current_machine_family,current_machine_instance,current_tooling_family,current_certification,rtd_machine_family,rtd_machine_instance,rtd_tooling_family,rtd_certification,future_machine_instance,future_machine_family,future_tooling_family,future_certification
ETS-2-64,CLFTEA31,6545253A,1,ETS-2-64                                     ,CLFTEA31,6545253A                                     ,1,CLFTEA31,6545253A,ETS-2-64,1
ETS-2-128,CLFTEA32,6542741A,1,ETS-2-64                                     ,CLFTEA32,6542741A                                     ,1,CLFTEA32,6542741A,ETS-2-64,1
ETS-2-64,CLFTEA33,6487839B,1,ETS-2-64                                     ,CLFTEA33,6487839B                                     ,1,CLFTEA33,6487839B,ETS-2-64,1
ETS-2-64,CLFTEA34,6498316A,1,ETS-2-64                                     ,CLFTEA34,6498316A                                     ,1,CLFTEA34,6498316A,ETS-2-64,1
ETS-2M-64,CLFTEA35,6529571A,1,ETS-2-64                                     ,CLFTEA35,6543648B                                     ,2,CLFTEA35,6529571A,ETS-0-64,1
ETS-2-64,CLFTEA36,6479550B,1,ETS-0-64                                     ,CLFTEA36,6479550B                                     ,1,CLFTEA36,6479550B,ETS-0-64,1
ETS364-NONSTD,CLFTEA37,6506370A,1,ETS-0-64                                     ,CLFTEA37,6506370A                                     ,1,CLFTEA37,6506371B,ETS-0-64,1
ETS364-NONSTD,CLFTEA37,6506370A,1,E88-1-0211010                                ,CLFTEA37,6577359A                                     ,1,CLFTEA37,6506371B,ETS-0-64,1
ETS-2-64,CLFTEA38,6525585A,1,ETS-2-64                                     ,CLFTEA38,6525585A                                     ,1,CLFTEA38,6525585A,ETS-2-64,1
ETS-2-64,CLFTEA39,6528917B,1,ETS-2-64                                     ,CLFTEA39,6528917B                                     ,1,CLFTEA39,6528917B,ETS-2-64,1
ETM-4-64,CLFTEA40,6513992A,1,ETM-0-64                                     ,CLFTEA40,6513992A                                     ,1,CLFTEA40,6513992A,ETS-0-64,1
ETS-2-64,CLFTEA41,6547181A,1,ETS-2-64                                     ,CLFTEA41,6547181A                                     ,1,CLFTEA41,6547181A,ETS-2-64,1
ETS-2-64,CLFTEA42,6555639A,2,ETS-2-64                                     ,CLFTEA42,6555639A                                     ,2,CLFTEA42,6555639A,ETS-2-64,2
ETS-2-64,CLFTEA43,6568521A,1,ETS-2-64                                     ,CLFTEA43,6568521A                                     ,1,CLFTEA43,6568521A,ETS-2-64,1
ETS-2-64,CLFTEA44,6522503A,1,ETS-2-64                                     ,CLFTEA44,6522503A                                     ,1,CLFTEA44,6522503A,ETS-2-64,1
