Lot Name,Device,Key Device,Key Package,Key Pin Package,Num of Device,Estimated Time Required
5969245,212006RGRR-G2$,N,N,N,9000,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5969238,212006RGRR-G2$,N,N,N,15000,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5969243,212006RGRR-G2$,N,N,N,11999,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977997,V62090RGTR1-G2,N,N,N,13764,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977978,V62090RGTR1-G2,N,N,N,13473,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977975,V62090RGTR1-G2,N,N,N,13807,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977989,V62090RGTR1-G2,N,N,N,13796,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5978001,V62090RGTR1-G2,N,N,N,13725,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977986,V62090RGTR1-G2,N,N,N,13743,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977999,V62090RGTR1-G2,N,N,N,13709,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977993,V62090RGTR1-G2,N,N,N,13759,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977985,V62090RGTR1-G2,N,N,N,13776,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977981,V62090RGTR1-G2,N,N,N,13753,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977995,V62090RGTR1-G2,N,N,N,13747,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977977,V62090RGTR1-G2,N,N,N,13722,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977983,V62090RGTR1-G2,N,N,N,13573,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977973,V62090RGTR1-G2,N,N,N,13813,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977992,V62090RGTR1-G2,N,N,N,13812,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977984,V62090RGTR1-G2,N,N,N,13791,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5978000,V62090RGTR1-G2,N,N,N,13781,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977979,V62090RGTR1-G2,N,N,N,13800,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977972,V62090RGTR1-G2,N,N,N,13772,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977987,V62090RGTR1-G2,N,N,N,8294,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977974,V62090RGTR1-G2,N,N,N,13805,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977994,V62090RGTR1-G2,N,N,N,13352,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977976,V62090RGTR1-G2,N,N,N,13763,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977982,V62090RGTR1-G2,N,N,N,13806,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977980,V62090RGTR1-G2,N,N,N,13692,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977998,V62090RGTR1-G2,N,N,N,13716,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977988,V62090RGTR1-G2,N,N,N,6861,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5977996,V62090RGTR1-G2,N,N,N,13798,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5978023,V62090RGTR1-G2,N,N,N,8117,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5978615,PS65053RGER1-R,N,N,N,10060,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5978614,PS65053RGER1-R,N,N,N,10063,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5978616,PS65053RGER1-R,N,N,N,8029,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5978613,PS65053RGER1-R,N,N,N,10048,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5979016,PS62420DRCR-RY,N,N,N,9208,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5979012,PS62420DRCR-RY,N,N,N,16863,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5979015,PS62420DRCR-RY,N,N,N,16894,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
